count,country,iso3c,ccode,year
152,Afghanistan,AFG,700,1979
25,Angola,AGO,540,1979
6,Albania,ALB,339,1979
1,United Arab Emirates,ARE,696,1979
82,Argentina,ARG,160,1979
37,Australia,AUS,900,1979
27,Austria,AUT,305,1979
1,Burundi,BDI,516,1979
20,Belgium,BEL,211,1979
1,Benin,BEN,434,1979
22,Bangladesh,BGD,771,1979
5,Bulgaria,BGR,355,1979
7,Bahrain,BHR,692,1979
NA,Belarus,BLR,370,1979
64,Bolivia,BOL,145,1979
72,Brazil,BRA,140,1979
1,Bhutan,BTN,760,1979
4,Botswana,BWA,571,1979
27,Central African Republic,CAF,482,1979
358,Canada,CAN,20,1979
102,Chile,CHL,155,1979
750,China,CHN,710,1979
3,Ivory Coast,CIV,437,1979
3,Cameroon,CMR,471,1979
22,"['congo-kinshasa', 'zaire', 'congo, democratic republic']",COD,490,1979
3,Congo,COG,484,1979
23,Colombia,COL,100,1979
1,Cape Verde,CPV,402,1979
3,Costa Rica,CRI,94,1979
49,Czechoslovakia,CSK,315,1979
253,Cuba,CUB,40,1979
37,Cyprus,CYP,352,1979
62,East Germany,DDR,265,1979
205,West Germany,DEU,260,1979
13,Denmark,DNK,390,1979
18,Dominican Republic,DOM,42,1979
27,Algeria,DZA,615,1979
22,Ecuador,ECU,130,1979
105,Egypt,EGY,651,1979
176,Spain,ESP,230,1979
28,Ethiopia,ETH,530,1979
12,Finland,FIN,375,1979
1,Fiji,FJI,950,1979
214,France,FRA,220,1979
546,Great Britain,GBR,200,1979
24,Ghana,GHA,452,1979
21,Guinea,GIN,438,1979
1,Guinea-Bissau,GNB,404,1979
3,Equatorial Guinea,GNQ,411,1979
47,Greece,GRC,350,1979
13,Grenada,GRD,55,1979
12,Guatemala,GTM,90,1979
8,Guyana,GUY,110,1979
1,Honduras,HND,91,1979
28,Haiti,HTI,41,1979
18,Hungary,HUN,310,1979
30,Indonesia,IDN,850,1979
239,India,IND,750,1979
233,Ireland,IRL,205,1979
1625,Iran,IRN,630,1979
38,Iraq,IRQ,645,1979
4,Iceland,ISL,395,1979
126,Israel,ISR,666,1979
265,Italy,ITA,325,1979
10,Jamaica,JAM,51,1979
12,Jordan,JOR,663,1979
313,Japan,JPN,740,1979
21,Kenya,KEN,501,1979
460,Cambodia,KHM,811,1979
270,South Korea,KOR,732,1979
16,Kuwait,KWT,690,1979
47,Laos,LAO,812,1979
73,Lebanon,LBN,660,1979
8,Liberia,LBR,450,1979
66,Libya,LBY,620,1979
5,St. Lucia,LCA,56,1979
1,Liechtenstein,LIE,223,1979
3,Sri Lanka,LKA,780,1979
2,Lesotho,LSO,570,1979
2,Luxembourg,LUX,212,1979
5,Morocco,MAR,600,1979
1,Madagascar,MDG,580,1979
2,Maldives,MDV,781,1979
171,Mexico,MEX,70,1979
7,Malta,MLT,338,1979
23,Burma,MMR,775,1979
4,Mozambique,MOZ,541,1979
7,Mauritania,MRT,435,1979
1,Mauritius,MUS,590,1979
7,Malaysia,MYS,820,1979
42,Nigeria,NGA,475,1979
258,Nicaragua,NIC,93,1979
14,Netherlands,NLD,210,1979
18,Norway,NOR,385,1979
12,Nepal,NPL,790,1979
4,New Zealand,NZL,920,1979
3,Oman,OMN,698,1979
141,Pakistan,PAK,770,1979
62,Panama,PAN,95,1979
29,Peru,PER,135,1979
80,Philippines,PHL,840,1979
4,Papua New Guinea,PNG,910,1979
77,Poland,POL,290,1979
43,Portugal,PRT,235,1979
14,Paraguay,PRY,150,1979
2,Palestine,PSE,NA,1979
3,Qatar,QAT,694,1979
6,Russia,RUS,365,1979
122,Saudi Arabia,SAU,670,1979
14,Sudan,SDN,625,1979
2,Senegal,SEN,433,1979
2,Singapore,SGP,830,1979
1,Solomon Islands,SLB,940,1979
9,El Salvador,SLV,92,1979
9,Somalia,SOM,520,1979
NA,Suriname,SUR,115,1979
16,Sweden,SWE,380,1979
4,Seychelles,SYC,591,1979
34,Syria,SYR,652,1979
25,Chad,TCD,483,1979
46,Thailand,THA,800,1979
2,Trinidad and Tobago,TTO,52,1979
9,Tunisia,TUN,616,1979
149,Turkey,TUR,640,1979
14,Tanzania,TZA,510,1979
163,Uganda,UGA,500,1979
8,Uruguay,URY,165,1979
1,United States of America,USA,2,1979
49,Venezuela,VEN,101,1979
693,Vietnam,VNM,816,1979
50,Yemen Arab Republic,YEM,678,1979
2,"Yemen, People's",YMD,680,1979
60,Yugoslavia,YUG,345,1979
255,South Africa,ZAF,560,1979
13,Zambia,ZMB,551,1979
1312,Afghanistan,AFG,700,1980
26,Angola,AGO,540,1980
2,Albania,ALB,339,1980
85,Argentina,ARG,160,1980
75,Australia,AUS,900,1980
19,Austria,AUT,305,1980
4,Burundi,BDI,516,1980
37,Belgium,BEL,211,1980
1,Benin,BEN,434,1980
12,Bangladesh,BGD,771,1980
7,Bulgaria,BGR,355,1980
4,Bahrain,BHR,692,1980
4,Bahamas,BHS,31,1980
73,Bolivia,BOL,145,1980
97,Brazil,BRA,140,1980
3,Barbados,BRB,53,1980
3,Bhutan,BTN,760,1980
7,Botswana,BWA,571,1980
5,Central African Republic,CAF,482,1980
501,Canada,CAN,20,1980
54,Chile,CHL,155,1980
498,China,CHN,710,1980
10,Ivory Coast,CIV,437,1980
1,Cameroon,CMR,471,1980
12,"['congo-kinshasa', 'zaire', 'congo, democratic republic']",COD,490,1980
105,Colombia,COL,100,1980
1,Cape Verde,CPV,402,1980
11,Costa Rica,CRI,94,1980
28,Czechoslovakia,CSK,315,1980
511,Cuba,CUB,40,1980
23,Cyprus,CYP,352,1980
36,East Germany,DDR,265,1980
284,West Germany,DEU,260,1980
1,Djibouti,DJI,522,1980
20,Denmark,DNK,390,1980
5,Dominican Republic,DOM,42,1980
40,Algeria,DZA,615,1980
11,Ecuador,ECU,130,1980
152,Egypt,EGY,651,1980
186,Spain,ESP,230,1980
43,Ethiopia,ETH,530,1980
5,Finland,FIN,375,1980
1,Fiji,FJI,950,1980
324,France,FRA,220,1980
1,Gabon,GAB,481,1980
496,Great Britain,GBR,200,1980
8,Ghana,GHA,452,1980
17,Guinea,GIN,438,1980
3,Gambia,GMB,420,1980
12,Guinea-Bissau,GNB,404,1980
105,Greece,GRC,350,1980
2,Grenada,GRD,55,1980
62,Guatemala,GTM,90,1980
10,Guyana,GUY,110,1980
32,Honduras,HND,91,1980
126,Haiti,HTI,41,1980
19,Hungary,HUN,310,1980
35,Indonesia,IDN,850,1980
310,India,IND,750,1980
152,Ireland,IRL,205,1980
2281,Iran,IRN,630,1980
217,Iraq,IRQ,645,1980
7,Iceland,ISL,395,1980
287,Israel,ISR,666,1980
328,Italy,ITA,325,1980
49,Jamaica,JAM,51,1980
59,Jordan,JOR,663,1980
380,Japan,JPN,740,1980
28,Kenya,KEN,501,1980
200,Cambodia,KHM,811,1980
274,South Korea,KOR,732,1980
12,Kuwait,KWT,690,1980
15,Laos,LAO,812,1980
144,Lebanon,LBN,660,1980
29,Liberia,LBR,450,1980
258,Libya,LBY,620,1980
1,St. Lucia,LCA,56,1980
1,Liechtenstein,LIE,223,1980
13,Sri Lanka,LKA,780,1980
2,Lesotho,LSO,570,1980
5,Luxembourg,LUX,212,1980
10,Morocco,MAR,600,1980
1,Madagascar,MDG,580,1980
181,Mexico,MEX,70,1980
2,Mali,MLI,432,1980
1,Malta,MLT,338,1980
13,Burma,MMR,775,1980
9,Mozambique,MOZ,541,1980
2,Mauritania,MRT,435,1980
3,Malawi,MWI,553,1980
12,Malaysia,MYS,820,1980
2,Niger,NER,436,1980
35,Nigeria,NGA,475,1980
93,Nicaragua,NIC,93,1980
37,Netherlands,NLD,210,1980
27,Norway,NOR,385,1980
11,Nepal,NPL,790,1980
11,New Zealand,NZL,920,1980
12,Oman,OMN,698,1980
177,Pakistan,PAK,770,1980
29,Panama,PAN,95,1980
42,Peru,PER,135,1980
133,Philippines,PHL,840,1980
4,Papua New Guinea,PNG,910,1980
488,Poland,POL,290,1980
51,Portugal,PRT,235,1980
10,Paraguay,PRY,150,1980
1,Qatar,QAT,694,1980
3,Russia,RUS,365,1980
1,Rwanda,RWA,517,1980
181,Saudi Arabia,SAU,670,1980
8,Sudan,SDN,625,1980
6,Senegal,SEN,433,1980
9,Singapore,SGP,830,1980
NA,Sierra Leone,SLE,451,1980
34,El Salvador,SLV,92,1980
39,Somalia,SOM,520,1980
NA,Suriname,SUR,115,1980
35,Sweden,SWE,380,1980
3,Swaziland,SWZ,572,1980
1,Seychelles,SYC,591,1980
67,Syria,SYR,652,1980
29,Chad,TCD,483,1980
4,Togo,TGO,461,1980
61,Thailand,THA,800,1980
6,Trinidad and Tobago,TTO,52,1980
17,Tunisia,TUN,616,1980
260,Turkey,TUR,640,1980
17,Tanzania,TZA,510,1980
58,Uganda,UGA,500,1980
11,Uruguay,URY,165,1980
14149,United States,USA,2,1980
46,Venezuela,VEN,101,1980
212,Vietnam,VNM,816,1980
1,Samoa,WSM,990,1980
13,Yemen Arab Republic,YEM,678,1980
16,"Yemen, People's",YMD,680,1980
170,Yugoslavia,YUG,345,1980
191,South Africa,ZAF,560,1980
9,Zambia,ZMB,551,1980
219,Zimbabwe,ZWE,552,1980
112,Afghanistan,AFG,700,1981
79,Angola,AGO,540,1981
6,Albania,ALB,339,1981
140,Argentina,ARG,160,1981
2,Barbuda,ATG,58,1981
89,Australia,AUS,900,1981
51,Austria,AUT,305,1981
2,Burundi,BDI,516,1981
32,Belgium,BEL,211,1981
1,Benin,BEN,434,1981
30,Bangladesh,BGD,771,1981
13,Bulgaria,BGR,355,1981
5,Bahrain,BHR,692,1981
NA,Belarus,BLR,370,1981
14,Belize,BLZ,80,1981
41,Bolivia,BOL,145,1981
115,Brazil,BRA,140,1981
11,Barbados,BRB,53,1981
1,Bhutan,BTN,760,1981
1,Botswana,BWA,571,1981
5,Central African Republic,CAF,482,1981
597,Canada,CAN,20,1981
42,Chile,CHL,155,1981
31,China,CHN,710,1981
4,Ivory Coast,CIV,437,1981
3,Cameroon,CMR,471,1981
17,"['congo-kinshasa', 'zaire', 'congo, democratic republic']",COD,490,1981
2,Congo,COG,484,1981
50,Colombia,COL,100,1981
NA,Cape Verde,CPV,402,1981
19,Costa Rica,CRI,94,1981
47,Czechoslovakia,CSK,315,1981
195,Cuba,CUB,40,1981
14,Cyprus,CYP,352,1981
62,East Germany,DDR,265,1981
439,West Germany,DEU,260,1981
26,Denmark,DNK,390,1981
11,Dominican Republic,DOM,42,1981
40,Algeria,DZA,615,1981
20,Ecuador,ECU,130,1981
412,Egypt,EGY,651,1981
202,Spain,ESP,230,1981
26,Ethiopia,ETH,530,1981
20,Finland,FIN,375,1981
2,Fiji,FJI,950,1981
588,France,FRA,220,1981
4,Gabon,GAB,481,1981
1176,Great Britain,GBR,200,1981
9,Ghana,GHA,452,1981
7,Guinea,GIN,438,1981
4,Gambia,GMB,420,1981
NA,Equatorial Guinea,GNQ,411,1981
174,Greece,GRC,350,1981
1,Grenada,GRD,55,1981
67,Guatemala,GTM,90,1981
22,Guyana,GUY,110,1981
27,Honduras,HND,91,1981
108,Haiti,HTI,41,1981
31,Hungary,HUN,310,1981
52,Indonesia,IDN,850,1981
225,India,IND,750,1981
304,Ireland,IRL,205,1981
808,Iran,IRN,630,1981
238,Iraq,IRQ,645,1981
2,Iceland,ISL,395,1981
1010,Israel,ISR,666,1981
306,Italy,ITA,325,1981
17,Jamaica,JAM,51,1981
96,Jordan,JOR,663,1981
740,Japan,JPN,740,1981
28,Kenya,KEN,501,1981
75,Cambodia,KHM,811,1981
111,South Korea,KOR,732,1981
41,Kuwait,KWT,690,1981
24,Laos,LAO,812,1981
273,Lebanon,LBN,660,1981
13,Liberia,LBR,450,1981
273,Libya,LBY,620,1981
3,Liechtenstein,LIE,223,1981
10,Sri Lanka,LKA,780,1981
2,Lesotho,LSO,570,1981
1,Luxembourg,LUX,212,1981
33,Morocco,MAR,600,1981
NA,Maldives,MDV,781,1981
274,Mexico,MEX,70,1981
1,Mali,MLI,432,1981
7,Malta,MLT,338,1981
10,Burma,MMR,775,1981
8,Mozambique,MOZ,541,1981
9,Mauritania,MRT,435,1981
4,Mauritius,MUS,590,1981
1,Malawi,MWI,553,1981
21,Malaysia,MYS,820,1981
40,Nigeria,NGA,475,1981
117,Nicaragua,NIC,93,1981
74,Netherlands,NLD,210,1981
34,Norway,NOR,385,1981
3,Nepal,NPL,790,1981
34,New Zealand,NZL,920,1981
11,Oman,OMN,698,1981
144,Pakistan,PAK,770,1981
20,Panama,PAN,95,1981
35,Peru,PER,135,1981
113,Philippines,PHL,840,1981
7,Papua New Guinea,PNG,910,1981
1006,Poland,POL,290,1981
26,Portugal,PRT,235,1981
5,Paraguay,PRY,150,1981
NA,Qatar,QAT,694,1981
NA,Russia,RUS,365,1981
437,Saudi Arabia,SAU,670,1981
44,Sudan,SDN,625,1981
13,Senegal,SEN,433,1981
12,Singapore,SGP,830,1981
NA,Sierra Leone,SLE,451,1981
29,Somalia,SOM,520,1981
2,Suriname,SUR,115,1981
64,Sweden,SWE,380,1981
1,Swaziland,SWZ,572,1981
14,Seychelles,SYC,591,1981
222,Syria,SYR,652,1981
51,Chad,TCD,483,1981
2,Togo,TGO,461,1981
46,Thailand,THA,800,1981
6,Trinidad and Tobago,TTO,52,1981
7,Tunisia,TUN,616,1981
173,Turkey,TUR,640,1981
11,Tanzania,TZA,510,1981
36,Uganda,UGA,500,1981
11,Uruguay,URY,165,1981
6281,United States,USA,2,1981
52,Venezuela,VEN,101,1981
113,Vietnam,VNM,816,1981
2,Vanuatu,VUT,935,1981
2,Samoa,WSM,990,1981
5,"Yemen, People's",YMD,680,1981
53,Yugoslavia,YUG,345,1981
409,South Africa,ZAF,560,1981
10,Zambia,ZMB,551,1981
96,Afghanistan,AFG,700,1982
60,Angola,AGO,540,1982
16,Albania,ALB,339,1982
939,Argentina,ARG,160,1982
82,Australia,AUS,900,1982
38,Austria,AUT,305,1982
21,Belgium,BEL,211,1982
1,Benin,BEN,434,1982
22,Bangladesh,BGD,771,1982
36,Bulgaria,BGR,355,1982
9,Bahrain,BHR,692,1982
NA,Belarus,BLR,370,1982
2,Belize,BLZ,80,1982
36,Bolivia,BOL,145,1982
107,Brazil,BRA,140,1982
6,Barbados,BRB,53,1982
4,Botswana,BWA,571,1982
2,Central African Republic,CAF,482,1982
418,Canada,CAN,20,1982
39,Chile,CHL,155,1982
4,China,CHN,710,1982
4,Ivory Coast,CIV,437,1982
3,Cameroon,CMR,471,1982
16,"['congo-kinshasa', 'zaire', 'congo, democratic republic']",COD,490,1982
39,Colombia,COL,100,1982
2,Cape Verde,CPV,402,1982
40,Costa Rica,CRI,94,1982
26,Czechoslovakia,CSK,315,1982
207,Cuba,CUB,40,1982
12,Cyprus,CYP,352,1982
35,East Germany,DDR,265,1982
422,West Germany,DEU,260,1982
1,Dominica,DMA,54,1982
19,Denmark,DNK,390,1982
34,Dominican Republic,DOM,42,1982
25,Algeria,DZA,615,1982
11,Ecuador,ECU,130,1982
327,Egypt,EGY,651,1982
169,Spain,ESP,230,1982
34,Ethiopia,ETH,530,1982
29,Finland,FIN,375,1982
6,Fiji,FJI,950,1982
517,France,FRA,220,1982
1556,Great Britain,GBR,200,1982
21,Ghana,GHA,452,1982
24,Guinea,GIN,438,1982
3,Gambia,GMB,420,1982
NA,Equatorial Guinea,GNQ,411,1982
168,Greece,GRC,350,1982
6,Grenada,GRD,55,1982
127,Guatemala,GTM,90,1982
15,Guyana,GUY,110,1982
100,Honduras,HND,91,1982
98,Haiti,HTI,41,1982
23,Hungary,HUN,310,1982
70,Indonesia,IDN,850,1982
221,India,IND,750,1982
157,Ireland,IRL,205,1982
305,Iran,IRN,630,1982
180,Iraq,IRQ,645,1982
11,Iceland,ISL,395,1982
1811,Israel,ISR,666,1982
323,Italy,ITA,325,1982
14,Jamaica,JAM,51,1982
254,Jordan,JOR,663,1982
641,Japan,JPN,740,1982
41,Kenya,KEN,501,1982
56,Cambodia,KHM,811,1982
113,South Korea,KOR,732,1982
23,Kuwait,KWT,690,1982
18,Laos,LAO,812,1982
1284,Lebanon,LBN,660,1982
1,Liberia,LBR,450,1982
120,Libya,LBY,620,1982
1,St. Lucia,LCA,56,1982
17,Sri Lanka,LKA,780,1982
13,Lesotho,LSO,570,1982
8,Luxembourg,LUX,212,1982
43,Morocco,MAR,600,1982
NA,Maldives,MDV,781,1982
351,Mexico,MEX,70,1982
1,Mali,MLI,432,1982
3,Malta,MLT,338,1982
3,Burma,MMR,775,1982
14,Mozambique,MOZ,541,1982
1,Mauritania,MRT,435,1982
7,Mauritius,MUS,590,1982
24,Malaysia,MYS,820,1982
33,Nigeria,NGA,475,1982
244,Nicaragua,NIC,93,1982
57,Netherlands,NLD,210,1982
22,Norway,NOR,385,1982
7,Nepal,NPL,790,1982
16,New Zealand,NZL,920,1982
9,Oman,OMN,698,1982
65,Pakistan,PAK,770,1982
23,Panama,PAN,95,1982
42,Peru,PER,135,1982
125,Philippines,PHL,840,1982
16,Papua New Guinea,PNG,910,1982
734,Poland,POL,290,1982
22,Portugal,PRT,235,1982
6,Paraguay,PRY,150,1982
1,Palestine,PSE,NA,1982
1,Qatar,QAT,694,1982
NA,Russia,RUS,365,1982
1,Rwanda,RWA,517,1982
126,Saudi Arabia,SAU,670,1982
18,Sudan,SDN,625,1982
8,Senegal,SEN,433,1982
24,Singapore,SGP,830,1982
3,Sierra Leone,SLE,451,1982
27,Somalia,SOM,520,1982
11,Suriname,SUR,115,1982
61,Sweden,SWE,380,1982
8,Swaziland,SWZ,572,1982
17,Seychelles,SYC,591,1982
268,Syria,SYR,652,1982
29,Chad,TCD,483,1982
1,Togo,TGO,461,1982
46,Thailand,THA,800,1982
9,Tunisia,TUN,616,1982
163,Turkey,TUR,640,1982
12,Tanzania,TZA,510,1982
18,Uganda,UGA,500,1982
7,Uruguay,URY,165,1982
5933,United States,USA,2,1982
46,Venezuela,VEN,101,1982
117,Vietnam,VNM,816,1982
1,Vanuatu,VUT,935,1982
2,Samoa,WSM,990,1982
13,"Yemen, People's",YMD,680,1982
36,Yugoslavia,YUG,345,1982
316,South Africa,ZAF,560,1982
9,Zambia,ZMB,551,1982
1,Zimbabwe,ZWE,552,1982
99,Afghanistan,AFG,700,1983
38,Angola,AGO,540,1983
6,Albania,ALB,339,1983
165,Argentina,ARG,160,1983
64,Australia,AUS,900,1983
35,Austria,AUT,305,1983
1,Burundi,BDI,516,1983
35,Belgium,BEL,211,1983
1,Benin,BEN,434,1983
17,Bangladesh,BGD,771,1983
37,Bulgaria,BGR,355,1983
7,Bahrain,BHR,692,1983
NA,Belarus,BLR,370,1983
6,Belize,BLZ,80,1983
19,Bolivia,BOL,145,1983
145,Brazil,BRA,140,1983
12,Barbados,BRB,53,1983
1,Bhutan,BTN,760,1983
7,Botswana,BWA,571,1983
2,Central African Republic,CAF,482,1983
281,Canada,CAN,20,1983
92,Chile,CHL,155,1983
111,China,CHN,710,1983
