"","Africa","Asia","EECA","LA","MENA","West"
"Business & Work",0.0307,0.0997,0.0529,0.0526,0.0356,0.0662
"Women's Rights & Gender Equality",0.0857,0.1008,0.0608,0.0757,0.1706,0.0852
"Marriage & Family",0.1159,0.0774,0.0564,0.0601,0.0621,0.0402
"Religion",0.0482,0.0272,0.05,0.0266,0.0899,0.0314
"Human Interest",0.1079,0.1118,0.1038,0.092,0.1085,0.0993
"Literature",0.0287,0.0476,0.067,0.0396,0.029,0.08
"Cancer",0.0787,0.0375,0.0294,0.039,0.017,0.109
"Maternal Health & Population",0.1341,0.0793,0.0932,0.1017,0.0542,0.0365
"Tourism",0.0478,0.0569,0.0552,0.0644,0.0332,0.0355
"Rape & Sexual Assault",0.0844,0.12,0.0973,0.1212,0.0788,0.048
"Arts",0.0333,0.0392,0.0696,0.0531,0.0247,0.0695
"Sports",0.0289,0.0429,0.0626,0.084,0.0221,0.1233
"Combat",0.046,0.0378,0.0821,0.0507,0.1183,0.0228
"Fashion",0.0189,0.0286,0.0257,0.025,0.0238,0.0616
"Politics",0.1107,0.0933,0.094,0.1143,0.1325,0.0914
