"","top.200.smd.africa.uni.","top.200.smd.asia.uni.","top.200.smd.eeca.uni.","top.200.smd.mena.uni.","top.200.smd.la.uni.","top.200.smd.west.uni."
"1","infect","econom","kept","kill","survivor","cancer"
"2","aid","ese","recent","fled","journalist","naval"
"3","hut","social","visitor","shelter","american","rais"
"4","stitch","rupe","comer","war","tear","born"
"5","clitori","feudal","vodka","conserv","member","crazi"
"6","diseas","hindu","present","islam","grandchildren","matriarch"
"7","tradit","factori","whitehair","escap","public","director"
"8","obstetr","valu","cramp","threaten","serv","canadian"
"9","injuri","dowri","peek","cousin","teresa","father"
"10","african","arrang","almost","unsuccess","born","becam"
"11","mark","overal","theori","uncl","senat","retir"
"12","posit","boy","pole","took","postgradu","serv"
"13","fistula","parent","qualiti","tri","christma","surviv"
"14","incontin","incent","confirm","prison","join","mother"
"15","contin","pyre","minist","arab","committe","tough"
"16","genit","find","strain","afghan","former","mind"
"17","fund","rapid","shout","forc","earthquak","traumat"
"18","administr","unclear","presenc","run","collaps","vice"
"19","tree","smoke","shortag","flee","belong","appoint"
"20","assist","communist","salari","dishonor","adolesc","alexandra"
"21","township","heaven","nation","honor","homeless","cabin"
"22","childbirth","neighbor","tabl","mullah","feb","dapper"
"23","respect","census","strict","knew","receiv","editionsnthi"
"24","hemorrhag","abort","funer","said","disast","enterpris"
"25","repair","state","intern","provinc","wear","formid"
"26","apartheid","choos","ident","happen","indigen","freshman"
"27","cut","technolog","pack","brother","gaze","hausner"
"28","sexual","phenomenon","center","customari","sprawl","illustri"
"29","church","incom","afterward","embroideri","shook","implor"
"30","blood","countrysid","leader","shariah","concert","isl"
"31","intercours","grow","declin","fatherinlaw","lost","lingeri"
"32","excis","figur","move","selfimmol","volunt","nazioccupi"
"33","ritual","fetus","afternoon","veil","includ","nongenet"
"34","oper","prosper","secretari","wound","sever","ovarian"
"35","swath","career","born","shame","chapter","penthous"
"36","heal","harass","dismiss","saw","leader","rearrang"
"37","sensit","structur","huge","fear","hurt","reprint"
"38","develop","coastal","enter","ministri","yesterday","retreat"
"39","techniqu","historian","crimin","attack","first","sail"
