"","Africa","Asia","EECA","LA","MENA","West"
"1","tradit","hindu","blame","roman","arab","canadian"
"2","independ","industri","averag","among","religi","fine"
"3","properti","improv","russian","cathol","conserv","immigr"
"4","begin","infanticid","econom","poor","islam","recogn"
"5","polygami","boy","past","illeg","cleric","categori"
"6","rural","rape","motherhood","machismo","reform","affili"
"7","lobbi","dowri","decemb","wage","right","suggest"
"8","saw","conduct","helper","access","drive","preced"
"9","chief","burn","bouquet","member","king","stereotyp"
"10","challeng","share","dissolut","exampl","ian","form"
"11","sole","villag","candi","displac","activist","stigmat"
"12","custom","select","nyt","fem","sheik","sexual"
"13","vice","common","cheap","result","islamist","asylum"
"14","socialist","marit","sexi","formal","cover","sex"
"15","african","strengthen","dispos","agrarian","follow","affirm"
"16","customari","heavili","recess","chief","will","race"
"17","practic","troubl","selfhelp","flow","capit","unanim"
"18","reviv","uncomfort","spawn","determin","secular","tip"
"19","reflect","slum","cramp","involv","royal","cathol"
"20","perpetu","bias","communism","farmer","hope","pornographi"
"21","assess","develop","follow","problem","moder","advocaci"
"22","structur","much","begin","coordin","restrict","nicola"
"23","legal","benazir","produc","long","muslim","landmark"
"24","humili","intoler","worn","symbol","obey","act"
"25","lobola","editor","interven","countri","decre","moreov"
"26","noth","number","devic","water","ensur","contin"
"27","inferior","program","life","look","process","lower"
"28","stand","ese","profess","offens","extremist","polici"
"29","newest","ordin","depress","stand","western","imag"
"30","virgin","death","situat","enshrin","tabl","unconstitut"
"31","without","sky","happi","work","afghan","exposur"
"32","old","rupe","postcommunist","affair","head","present"
"33","privileg","counselor","noth","replac","princ","arent"
"34","husband","account","standard","mind","scholar","recommend"
"35","bad","birth","apart","union","allianc","total"
"36","backbreak","sept","busi","life","abaya","attitud"
"37","convey","uniform","holiday","power","polic","feder"
"38","softspoken","rage","love","serv","provis","full"
"39","stiff","rural","paper","social","dress","philosoph"
"40","price","perhap","highest","time","sunni","put"
"41","embarrass","investig","benefit","birth","scarf","treatment"
"42","insur","less","pay","sponsor","hair","commiss"
"43","miss","discrimin","appreci","organ","wear","charter"
"44","facet","failur","doubl","surviv","evolut","decis"
"45","respond","ratio","flower","describ","kept","convers"
"46","urban","root","histor","word","fear","italian"
"47","eldest","percent","contest","product","sign","feminist"
"48","hiv","trend","injustic","feminist","car","odd"
"49","remain","nutrit","lowest","recal","victori","danger"
"50","estat","stark","larger","deepli","god","workplac"
"51","children","techniqu","housework","remain","hijab","theori"
"52","sue","vocat","communist","code","run","hit"
"53","belong","blatant","conclus","special","seat","andr"
"54","fals","ope","cost","just","stay","underw"
"55","song","document","advertis","initi","week","antiabort"
"56","terribl","adulteri","gift","low","authoritarian","polar"
"57","spread","ignor","mutual","opportun","return","guidelin"
"58","convinc","advanc","slight","choos","reformist","sexist"
"59","mean","feudal","attribut","sociologist","freedom","privat"
"60","widow","hinder","show","lower","downtown","readili"
"61","upon","hudood","forum","ministri","support","infring"
"62","safe","inact","democrat","represent","revolut","sexism"
"63","phenomenon","lover","start","new","exil","actual"
"64","persuad","monster","resolv","instanc","gulf","boss"
"65","bold","nilanjana","expect","publish","tuesday","caus"
"66","fast","outstrip","intellectu","crimin","impun","tend"
"67","neck","pearl","valu","actionais","pashtun","physic"
"68","yearold","blame","relev","aptitud","obedi","result"
"69","die","column","alongsid","assimil","toppl","censor"
"70","farm","higher","live","barrio","fire","nonviol"
"71","patriarchi","everi","per","bourgeoisi","guardian","objectif"
