"","top.200.smd.africa.uni.","top.200.smd.asia.uni.","top.200.smd.eeca.uni.","top.200.smd.mena.uni.","top.200.smd.la.uni.","top.200.smd.west.uni."
"1","tradit","hindu","blame","arab","roman","canadian"
"2","independ","industri","averag","religi","among","fine"
"3","properti","improv","russian","conserv","cathol","immigr"
"4","begin","infanticid","econom","islam","poor","recogn"
"5","polygami","boy","past","cleric","illeg","categori"
"6","rural","rape","motherhood","reform","machismo","affili"
"7","lobbi","dowri","decemb","right","wage","suggest"
"8","saw","conduct","helper","drive","access","preced"
"9","chief","burn","bouquet","king","member","stereotyp"
"10","challeng","share","dissolut","ian","exampl","form"
"11","sole","villag","candi","activist","displac","stigmat"
"12","custom","select","nyt","sheik","fem","sexual"
"13","vice","common","cheap","islamist","result","asylum"
"14","socialist","marit","sexi","cover","formal","sex"
"15","african","strengthen","dispos","follow","agrarian","affirm"
"16","customari","heavili","recess","will","chief","race"
"17","practic","troubl","selfhelp","capit","flow","unanim"
"18","reviv","uncomfort","spawn","secular","determin","tip"
"19","reflect","slum","cramp","royal","involv","cathol"
"20","perpetu","bias","communism","hope","farmer","pornographi"
"21","assess","develop","follow","moder","problem","advocaci"
"22","structur","much","begin","restrict","coordin","nicola"
"23","legal","benazir","produc","muslim","long","landmark"
"24","humili","intoler","worn","obey","symbol","act"
"25","lobola","editor","interven","decre","countri","moreov"
"26","noth","number","devic","ensur","water","contin"
"27","inferior","program","life","process","look","lower"
"28","stand","ese","profess","extremist","offens","polici"
"29","newest","ordin","depress","western","stand","imag"
"30","virgin","death","situat","tabl","enshrin","unconstitut"
"31","without","sky","happi","afghan","work","exposur"
"32","old","rupe","postcommunist","head","affair","present"
"33","privileg","counselor","noth","princ","replac","arent"
"34","husband","account","standard","scholar","mind","recommend"
"35","bad","birth","apart","allianc","union","total"
"36","backbreak","sept","busi","abaya","life","attitud"
"37","convey","uniform","holiday","polic","power","feder"
"38","softspoken","rage","love","provis","serv","full"
"39","stiff","rural","paper","dress","social","philosoph"
"40","price","perhap","highest","sunni","time","put"
"41","embarrass","investig","benefit","scarf","birth","treatment"
"42","insur","less","pay","hair","sponsor","commiss"
"43","miss","discrimin","appreci","wear","organ","charter"
"44","facet","failur","doubl","evolut","surviv","decis"
"45","respond","ratio","flower","kept","describ","convers"
"46","urban","root","histor","fear","word","italian"
"47","eldest","percent","contest","sign","product","feminist"
"48","hiv","trend","injustic","car","feminist","odd"
"49","remain","nutrit","lowest","victori","recal","danger"
"50","estat","stark","larger","god","deepli","workplac"
"51","children","techniqu","housework","hijab","remain","theori"
"52","sue","vocat","communist","run","code","hit"
"53","belong","blatant","conclus","seat","special","andr"
"54","fals","ope","cost","stay","just","underw"
"55","song","document","advertis","week","initi","antiabort"
"56","terribl","adulteri","gift","authoritarian","low","polar"
"57","spread","ignor","mutual","return","opportun","guidelin"
"58","convinc","advanc","slight","reformist","choos","sexist"
"59","mean","feudal","attribut","freedom","sociologist","privat"
"60","widow","hinder","show","downtown","lower","readili"
"61","upon","hudood","forum","support","ministri","infring"
"62","safe","inact","democrat","revolut","represent","sexism"
"63","phenomenon","lover","start","exil","new","actual"
"64","persuad","monster","resolv","gulf","instanc","boss"
"65","bold","nilanjana","expect","tuesday","publish","caus"
"66","fast","outstrip","intellectu","impun","crimin","tend"
"67","neck","pearl","valu","pashtun","actionais","physic"
"68","yearold","blame","relev","obedi","aptitud","result"
"69","die","column","alongsid","toppl","assimil","censor"
"70","farm","higher","live","fire","barrio","nonviol"
"71","patriarchi","everi","per","guardian","bourgeoisi","objectif"
"72","soon","research","center","work","bucket","racism"
"73","obtain","access","regular","draft","bureaus","stupid"
"74","healthi","unusu","anoth","presid","campesino","fragment"
"75","toward","angri","statist","regim","cazuela","clearer"
"76","bound","carri","top","wife","christiana","born"
"77","delic","averag","fit","expand","clay","includ"
"78","subservi","statist","understand","march","colonialstyl","appli"
"79","aid","cash","creat","encourag","divert","parent"
"80","farmer","west","chose","street","dominion","worker"
"81","status","loan","feminist","mall","drinkabl","veil"
"82","model","contract","newspap","blogger","eenag","job"
"83","white","almost","friend","drove","examp","antipornographi"
"84","paper","thus","time","protest","exce","amend"
"85","recours","amount","mayor","coverag","fadh","neither"
"86","asset","reproduct","depict","upris","fearsom","lag"
"87","laugh","deep","polit","rough","flair","reader"
"88","black","thank","attent","push","fledgl","suburb"
"89","graduat","better","newli","enemi","fro","distribut"
"90","struggl","drunken","shown","refug","governortob","probabl"
"91","virtu","qualiti","twothird","rival","gravit","presum"
"92","genit","alcohol","exchang","setback","gubernatori","psycholog"
"93","paid","implement","natur","theocraci","harddriv","individu"
"94","water","domest","resid","warlord","insurrect","consist"
"95","presid","attack","septemb","exact","jeanbertrand","nonpartisan"
"96","bitter","gender","union","repeat","junta","elig"
"97","alien","item","coupl","hardlin","laden","loophol"
"98","compulsori","accur","fact","democraci","lationship","fascin"
"99","wife","unexpect","magazin","oil","libertin","harmoni"
"100","pledg","elder","masculin","foreign","lisemari","narrat"
"101","lay","alway","hungarian","permiss","menial","submiss"
"102","visitor","particular","rubl","store","muchcritic","peter"
"103","throughout","inde","ageist","secur","nizer","lend"
"104","hold","templ","alexand","detain","odditi","depict"
"105","discov","just","alla","elect","orat","bit"
"106","prevail","enrol","americanbas","secularist","orga","mayor"
