"","Africa","Asia","EECA","LA","MENA","West"
"1","zulu","liquor","hungarian","pot","sheik","embryo"
"2","lobola","toilet","postcommunist","campesino","princ","canadian"
"3","iranian","panchayat","rubl","cazuela","afghan","flirtat"
"4","bead","ratio","russian","displac","brotherhood","fullfac"
"5","senga","mainten","bouquet","fem","sunni","synod"
"6","tent","hindu","communiqué","revalu","islamist","bishop"
"7","disinherit","sky","complement","sandinist","reformist","asylum"
"8","mainland","templ","dissolut","actionais","king","antipornographi"
"9","mammi","leftov","eurovis","aptitud","allianc","archbishop"
"10","mdlalos","antiliquor","genius","assimil","righteous","tree"
"11","ngobes","australian","hedonist","barrio","abaya","ape"
"12","paragraph","landlord","helper","bourgeoisi","upris","irishwomen"
"13","pietermaritzburg","rupe","irina","bucket","ian","originalist"
"14","quicker","bathroom","massag","bureaus","shelter","transgend"
"15","redandwhit","abe","pope","christiana","drove","obscen"
"16","stove","benazir","phoni","clay","downtown","immigr"
"17","swazi","bmw","acr","colonialstyl","secularist","indian"
"18","tester","bylaw","ageist","divert","subway","censor"
"19","tofhan","certif","alexand","dominion","theocraci","clearer"
"20","troup","chon","alla","drinkabl","turkish","fragment"
"21","vera","drunken","americanbas","eenag","blogger","indirect"
"22","wedlock","elop","antipathi","examp","extremist","invitro"
"23","zulus","guggenheim","apollo","exce","arab","nicola"
"24","zuma","hadd","artscen","fadh","royal","nonviol"
"25","punch","intoler","aurthoritarian","fearsom","evolut","objectif"
"26","customari","pyramid","backyard","flair","exil","picket"
"27","meter","sculptur","balconi","fledgl","lingeri","racism"
"28","abound","swat","benefici","fro","obey","relativ"
"29","accent","valedictorian","bestsel","governortob","saudi","stupid"
"30","allevi","survivor","bread","gravit","drive","italian"
"31","allout","ese","brunett","gubernatori","hijab","storag"
"32","amen","confucian","calib","harddriv","authoritarian","unwant"
"33","amongst","lab","caucasus","insurrect","dialogu","affili"
"34","andrew","ration","chauvin","jeanbertrand","kurdish","correl"
"35","antiapartheid","arrack","clampdown","junta","tabl","andr"
"36","appl","auw","clincher","laden","turk","antiabort"
"37","apprais","bicycl","codex","lationship","burka","dell"
"38","arbit","blasphemi","cyberfeminclub","libertin","interim","demo"
"39","argentina","bridehunt","czar","lisemari","mall","dian"
"40","badg","chugui","daycar","menial","retail","faintheart"
"41","bat","delhi","dishevel","muchcritic","cleric","forthcom"
"42","blackgovern","directori","disorgan","nizer","scarf","framer"
"43","bottl","feudal","distractionjoani","odditi","moder","gene"
"44","bower","hinder","doorman","orat","palestinian","homophobia"
"45","boygetsgirl","hudood","easiest","orga","gallup","hypermasculin"
"46","brain","imbal","elgibl","owev","gate","mcpake"
"47","broil","inact","embellish","patriarchc","impun","polar"
"48","buoyant","indira","exhibition","peddl","obedi","prelat"
"49","cairobas","korean","fccstyle","plug","pashtun","referendum"
"50","caption","lineag","fellowtravel","preoccupi","sacrif","regain"
"51","catchment","lover","fidel","probl","scapegoat","sen"
"52","cattl","microblog","forcef","rangel","shah","sexbas"
"53","caxton","monster","freeforal","ricardo","swatch","snooker"
"54","chairperson","naval","freez","runoff","toppl","swede"
"55","chast","nilanjana","fur","sanitari","vers","swiss"
"56","childcar","outstrip","glamor","signifi","store","underw"
"57","childcustodi","pearl","hardcurr","slower","reform","viewer"
"58","classif","regenc","harvardeduc","squatter","architectur","wellfound"
"59","colleen","sailor","highris","subminist","sect","yawn"
"60","comic","straddl","hippi","superwoman","beg","club"
"61","comingofag","surplus","hooray","swagger","cellphon","french"
