"","Africa","Asia","EECA","LA","MENA","West"
"1","tradit","industri","econom","access","arab","french"
"2","independ","boy","blame","among","religi","fine"
"3","begin","improv","past","roman","conserv","canadian"
"4","rural","hindu","averag","cathol","islam","suggest"
"5","polygami","rape","follow","illeg","cleric","immigr"
"6","properti","infanticid","russian","wage","afghan","recogn"
"7","reflect","conduct","standard","member","reform","sex"
"8","challeng","share","start","poor","drive","form"
"9","saw","much","decemb","countri","right","british"
"10","chief","common","produc","result","king","stereotyp"
"11","lobbi","dowri","begin","problem","ian","sexual"
"12","practic","editor","pay","formal","activist","preced"
"13","respond","birth","motherhood","exampl","sheik","categori"
"14","custom","burn","profess","chief","islamist","affili"
"15","mean","troubl","social","machismo","cover","affirm"
"16","legal","number","helper","mani","follow","stigmat"
"17","sole","marit","bouquet","look","secular","lower"
"18","vice","bias","dissolut","determin","will","race"
"19","bad","less","noth","long","capit","tip"
"20","without","strengthen","situat","work","royal","unanim"
"21","noth","heavili","happi","symbol","moder","advocaci"
"22","stand","select","candi","time","hope","polici"
"23","socialist","chines","cheap","remain","restrict","cathol"
"24","african","develop","nyt","displac","muslim","pornographi"
"25","assess","discrimin","sexi","fem","obey","asylum"
"26","reviv","villag","dispos","stand","decre","put"
"27","customari","percent","life","involv","ensur","act"
"28","humili","uncomfort","film","agrarian","saudi","landmark"
"29","spread","slum","recess","life","process","imag"
"30","status","program","selfhelp","social","extremist","present"
"31","structur","perhap","spawn","flow","tabl","moreov"
"32","yearold","everi","expect","said","princ","attitud"
"33","farm","account","live","birth","western","privat"
"34","old","advanc","show","farmer","allianc","total"
"35","perpetu","death","creat","sexual","abaya","arent"
"36","inferior","counselor","cramp","coordin","head","nicola"
"37","toward","blame","larger","water","scholar","feminist"
"38","insur","benazir","paper","offens","sunni","actual"
"39","husband","intoler","worn","enshrin","provis","contin"
"40","get","sept","interven","just","polic","treatment"
"41","price","almost","devic","describ","dress","exposur"
"42","embarrass","ordin","love","replac","scarf","decis"
"43","obtain","failur","benefit","power","hair","amend"
"44","miss","investig","histor","mind","evolut","convers"
"45","presid","root","confer","rate","wear","unconstitut"
"46","remain","ope","highest","word","car","result"
"47","convinc","ese","depress","sponsor","kept","appli"
"48","safe","rural","apart","surviv","hijab","full"
"49","newest","document","attent","union","victori","danger"
"50","lobola","adulteri","cost","struggl","fear","feder"
"51","virgin","ignor","democrat","affair","sign","recommend"
"52","children","trend","housework","recal","run","odd"
"53","privileg","just","polit","legal","god","neither"
"54","persuad","rage","way","product","authoritarian","theori"
"55","phenomenon","carri","appreci","organ","seat","caus"
"56","urban","uniform","doubl","serv","reformist","workplac"
"57","backbreak","west","busi","came","stay","commiss"
"58","convey","sky","injustic","abort","downtown","includ"
"59","softspoken","rupe","conclus","feminist","exil","philosoph"
"60","stiff","inde","postcommunist","deepli","return","tend"
"61","cultur","higher","contest","low","week","charter"
"62","wife","better","mutual","represent","revolut","sexist"
"63","soon","access","slight","took","freedom","readili"
"64","die","domest","valu","half","impun","infring"
"65","facet","averag","holiday","opportun","pashtun","individu"
"66","eldest","angri","object","lower","obedi","italian"
"67","hiv","thus","attribut","celebr","toppl","hit"
"68","fals","particular","depict","sociologist","gulf","probabl"
"69","song","aid","communist","armi","taliban","job"
"70","terribl","deep","advertis","new","support","guidelin"
"71","belong","nutrit","feminist","wednesday","tuesday","parent"
"72","southern","stark","top","summer","fire","presum"
"73","estat","techniqu","flower","magazin","guardian","argument"
"74","sue","blatant","gift","special","draft","sexism"
"75","upon","vocat","resolv","choos","work","andr"
"76","bold","unusu","alongsid","medic","regim","underw"
"77","fast","research","relev","abroad","expand","antiabort"
"78","neck","statist","understand","expect","presid","polar"
"79","throughout","attack","lowest","initi","wife","boss"
"80","civil","ratio","fit","general","mall","consist"
"81","widow","thank","agenc","crimin","blogger","worker"
"82","aid","alway","anoth","discuss","drove","queen"
"83","hold","amount","regular","instanc","march","physic"
"84","model","littl","chose","publish","street","action"
"85","delic","column","mayor","see","encourag","born"
"86","subservi","report","statist","effort","upris","bit"
"87","farmer","contract","meet","code","coverag","also"
"88","graduat","meanwhil","fact","still","protest","broader"
"89","paid","implement","forum","hundr","rough","reader"
"90","patriarchi","reproduct","intellectu","one","push","suburb"
"91","healthi","feudal","per","chang","enemi","paid"
"92","live","hinder","masculin","paid","refug","assist"
"93","struggl","hudood","natur","lack","rival","bill"
"94","age","inact","time","dozen","setback","correct"
"95","black","lover","shown","suffer","theocraci","date"
"96","white","monster","center","fall","warlord","veil"
"97","asset","nilanjana","contact","project","exact","lag"
"98","laugh","outstrip","twothird","ministri","repeat","manag"
"99","recours","pearl","exchang","adulteri","democraci","resist"
"100","differ","artist","septemb","condit","hardlin","certain"
"101","virtu","wish","war","labor","store","distribut"
"102","paper","regard","sexism","revolut","oil","censor"
"103","bound","loan","coupl","honor","foreign","nonviol"
"104","lay","popul","togeth","pot","detain","objectif"
"105","widespread","cash","exploit","cazuela","secur","racism"
"106","peopl","upper","western","actionais","permiss","stupid"
"107","six","difficulti","friend","aptitud","turkish","fragment"
"108","stop","grievanc","newspap","assimil","secularist","clearer"
"109","alien","qualiti","frequent","barrio","elect","affect"
"110","bitter","unexpect","abandon","bourgeoisi","sacrif","german"
"111","compulsori","accur","art","bucket","jail","psycholog"
"112","condit","govern","eas","bureaus","edict","object"
"113","visitor","patriarchi","abil","campesino","late","arriv"
"114","manual","often","servic","christiana","escap","nonpartisan"
"115","begun","whose","small","clay","afterward","elig"
"116","genit","defin","abl","colonialstyl","anyway","loophol"
"117","togeth","gender","liber","divert","gotten","fascin"
"118","alon","item","newli","dominion","makeup","narrat"
"119","nation","alcohol","union","drinkabl","scarv","harmoni"
"120","water","weight","materi","eenag","video","peter"
"121","attribut","reserv","soviet","examp","societi","submiss"
"122","debt","elder","print","exce","hamid","lend"
"123","prevail","achiev","featur","fadh","sent","antipornographi"
"124","tini","enrol","charact","fearsom","without","ident"
"125","march","occupi","abort","flair","shiit","scene"
"126","campaign","food","emancip","fledgl","burst","defens"
"127","singl","cast","factori","fro","lingeri","mayor"
"128","discov","drunken","day","governortob","loya","origin"
"129","more","thousand","parliament","gravit","outreach","grow"
"130","perfect","girl","resid","gubernatori","freed","ritual"
"131","night","census","unemploy","harddriv","conscript","intens"
"132","grow","arrang","wonder","insurrect","unveil","charact"
"133","econom","agricultur","mind","jeanbertrand","stop","save"
"134","bus","meet","decad","junta","author","consider"
"135","pledg","counter","sort","laden","constitut","among"
"136","subject","shut","stereotyp","lationship","chant","depict"
"137","imprison","templ","month","libertin","human","bodi"
"138","accomplish","empow","last","lisemari","driver","spokesman"
"139","deliv","expert","mark","menial","door","structur"
"140","pronounc","global","complex","muchcritic","segreg","consult"
"141","unmarri","assign","decid","nizer","custodi","roman"
"142","ceremoni","fell","similar","odditi","deserv","fulli"
"143","walk","safeti","regul","orat","dare","specif"
"144","match","acknowledg","factor","orga","wheel","scandal"
"145","test","poor","kind","owev","futur","offend"
"146","enorm","branch","digniti","patriarchc","crowd","biolog"
"147","theori","surviv","photograph","peddl","wore","draw"
"148","outsid","panel","emerg","plug","twitter","question"
"149","portray","bright","letter","preoccupi","minimum","professor"
"150","boy","satisfi","histori","probl","licens","crimin"
"151","enforc","tone","magazin","rangel","took","bureaucraci"
"152","commun","largest","privat","revalu","minut","stronger"
"153","theyr","final","confid","ricardo","lawmak","teenag"
"154","maintain","persist","reveal","runoff","beg","impact"
"155","socal","childhood","younger","sandinist","cellphon","famous"
"156","intent","gang","fair","sanitari","facto","mean"
"157","backward","diminish","whole","signifi","hosni","adopt"
"158","smile","analyz","rate","slower","invas","persecut"
"159","leav","catalyst","sinc","squatter","ultraconserv","avail"
"160","produc","fetus","hungarian","subminist","forbidden","church"
"161","brought","flaw","rubl","superwoman","ruler","deem"
"162","sponsor","insignific","acr","swagger","keep","nativ"
"163","area","lifestyl","ageist","twostori","travel","fact"
"164","law","lucki","alexand","urb","vision","exampl"
"165","danc","mentor","alla","wellplac","schedul","applic"
"166","buy","occurr","americanbas","yorktrain","contradict","fullfac"
"167","virtual","worsen","antipathi","measur","dishonor","scope"
"168","percentag","host","apollo","five","modesti","cold"
"169","contract","blind","artscen","companion","bolster","withdrawn"
"170","embrac","bureau","aurthoritarian","also","sharpli","delight"
"171","illustr","stall","backyard","maid","oppos","seller"
"172","prioriti","unabl","balconi","polit","oust","slap"
"173","spent","echo","benefici","rape","pervas","thus"
"174","food","find","bestsel","governor","nurs","suit"
"175","babi","unmarri","bread","malefemal","vote","destroy"
"176","hard","ration","brunett","abrupt","signatur","parliamentari"
"177","procedur","son","calib","backbon","grown","minist"
"178","equal","entrench","caucasus","beckon","analyst","other"
"179","aim","settlement","chauvin","bikini","seiz","illeg"
"180","notion","money","clampdown","candidaci","optimist","psychologist"
"181","wont","may","clincher","congression","oldest","plant"
"182","level","mainten","codex","demur","copi","ethic"
"183","bead","babi","communiqué","disagr","recep","facil"
"184","senga","indic","complement","doubli","grate","provid"
"185","apprais","caus","cyberfeminclub","earthquak","successor","cultur"
"186","catchment","parallel","czar","elena","clarifi","membership"
"187","dam","team","daycar","emin","admonish","direct"
"188","desol","pretti","dishevel","equalpay","awkward","obscen"
"189","disproport","labor","disorgan","forth","captur","underrepres"
"190","drought","model","distractionjoani","grandfath","guardianship","john"
"191","evelov","titl","doorman","happili","halfbroth","workingclass"
"192","fetcher","revers","easiest","hierarch","smash","differenti"
"193","forti","legaci","elgibl","hop","caprici","underground"
"194","headbal","evid","embellish","interdisciplinari","shook","ethnic"
"195","heretofor","illiteraci","eurovis","latin","supervis","union"
"196","irrespons","survey","exhibition","margaret","winc","piec"
"197","islandn","convict","fccstyle","mixtur","burka","differ"
"198","mainland","drawn","fellowtravel","monopoli","fingernail","earlier"
"199","manuscriptcollect","pregnant","fidel","oneparti","stroll","exercis"
"200","rectifi","enough","forcef","overshadow","counterbal","negat"
