"","Africa","Asia","EECA","LA","MENA","West"
"Business & Work",3.07,9.97,5.29,5.26,3.56,6.62
"Women's Rights & Gender Equality",8.57,10.08,6.08,7.57,17.06,8.52
"Marriage & Family",11.59,7.74,5.64,6.01,6.21,4.02
"Religion",4.82,2.72,5,2.66,8.99,3.14
"Human Interest",10.79,11.18,10.38,9.2,10.85,9.93
"Literature",2.87,4.76,6.7,3.96,2.9,8
"Cancer",7.87,3.75,2.94,3.9,1.7,10.9
"Maternal Health & Population",13.41,7.93,9.32,10.17,5.42,3.65
"Tourism",4.78,5.69,5.52,6.44,3.32,3.55
"Rape & Sexual Assault",8.44,12,9.73,12.12,7.88,4.8
"Arts",3.33,3.92,6.96,5.31,2.47,6.95
"Sports",2.89,4.29,6.26,8.4,2.21,12.33
"Combat",4.6,3.78,8.21,5.07,11.83,2.28
"Fashion",1.89,2.86,2.57,2.5,2.38,6.16
"Politics",11.07,9.33,9.4,11.43,13.25,9.14
"Total",100,100,100,100,100,100
