"","TITLE","REGION","TEXT","YEAR","COUNTRY_FINAL"
"1","For Women in Ivory Coast, New Fight for Equality","Africa","Tomam Constance Yai is on a crusade against polygamy. Although she scarcely tolerates it, her problem is not so much the traditional rural practice, which is widespread throughout this region, where the economics of hardscrabble farming have long encouraged men to take more than one wife. Instead, the crusade of this leader of the Ivoirian Association for the Defense of Women's Rights is aimed at an equally well established urban phenomenon of multiple wives, mistresses and concubines that she says perpetuates the sexual privileges of men while stunting the lives of African women. In past battles Ms. Yai, a 40-year-old speech therapist whose unflinching gaze conveys the sense of a woman who relishes big challenges, has had mixed results. But in this instance, she saw an opportunity to use a proposed change in the law to draw attention to such problems. Her newest campaign began after the publication of a proposed bill that would change the rules governing divorce on grounds of adultery. The proposed law would grant a man the right to divorce his wife for adultery with little more provocation than finding her engaged in intimate conversation with another man. For women to obtain divorce for adultery, their husbands would have to be caught in a sexual act at the couple's home with the same woman more than once. Seizing upon the outrage the bill fanned in some quarters, Ms. Yai has used the bill to focus attention on the broader question of inequalities frozen in place by the legal system and by the weight of tradition. ""Having a husband who sleeps at home every night is considered by many women to be a rare privilege,"" Ms. Yai said. ""It should not be a privilege; it should be normal."" Some women's groups have quietly begun petitioning the Government to withdraw the bill. But Ms. Yai and other members of her movement adopted a high-profile campaign, urging women to take direct action like marching on the homes of Government ministers to get their wives to pronounce themselves on polygamy and adultery. ""Since independence, not a single man has been prosecuted for polygamy in this country,"" Ms. Yai said. ""If the Government is proposing this, it is because men are afraid. It would seem that they have begun to say to each other, if we don't limit the power of women now, they will soon be demanding full equality."" According to embarrassed Justice Ministry officials, the controversial passages in published versions of the bill reflected nothing more than secretarial errors. The sole intent, they say, was to be a first step toward eventual ""depenalization"" of adultery, which is theoretically punishable by imprisonment. But for Ms. Yai and her allies, the biggest challenge may be in mobilizing a largely indifferent public.  Women's groups have been virtually alone in denouncing the measure. What is worse, Ms. Yai says, many women seem resigned or indifferent. To jar women out of complacency, Ms. Yai has sought out women who she says have already been wronged by the justice system and by husbands who take advantage of it. One such woman is Martine Kuyo, 46, who says she discovered her husband one day locked in the embrace of another woman in a parked car. When Ms. Kuyo complained, her husband filed for divorce, claiming that his wife, to whom he was married for more than 25 years, had failed to entertain his family properly. Since discovering that her husband, who is a doctor, had authorized a colleague to sterilize her without her knowledge during a Caesarean section in her last pregnancy, Ms. Kuyo has spent three years bitterly resisting a divorce. ""When the judge in the case sees me, you would think I was a threat to him,"" Ms. Kuyo said. ""I walk in front of him and he frowns. My husband appears in the courtroom, and the judge smiles. ""Why? Because men realize that they are in this together."" As Ms. Yai tells women, ""The message we want to get across to women is that there is someone here to help when it is your turn for a hazing.""",1996,"COTE D'IVOIRE"
"2","Senegal Bans Cutting Of Genitals Of Girls","Africa","In a step toward eradicating the tradition of female genital mutilation in Africa, the Parliament of Senegal banned it this week, responding to a campaign by Senegalese women. The campaign had unusual origins, said Rana Badri, who coordinates action against the practice by Equality Now, a New York-based group helping women in the developing world as well as immigrants. Ms. Badri attributed the campaign to a private Senegalese women's organization called Tofhan, which means breakthrough. But she said the group had not set out to fight genital mutilation. Rather, the effort came about as a result of literacy classes and human-rights discussions among women at the grass-roots level. ""It started with basic reading and writing,"" she said. ""They didn't ask the community to stop the practice. This came as a result of the women's awareness of their rights."" The procedure, which many Africans call ""female circumcision,"" involves the removal of all or part of the external female genitals. The often crude and painful operations not only deprive victims of sexual feelings but may also injure them in ultimately life-threatening ways. Carol Bellamy, executive director of Unicef, welcomed the Senegalese Parliament's decision, which was reached on Thursday. ""Senegal's action is of great significance,"" she said, ""because it reflects the resolve of African women to end a cruel and unacceptable practice which violates the rights of all girls to free, safe and healthy lives."" Unicef, the United Nations Children's Fund, estimates that 130 million women, most of them in Africa, have undergone genital mutilation. Each year more than two million girls undergo the procedure, some of them in infancy, the agency says. Egypt, Ethiopia, Kenya, Nigeria, Somalia and Sudan account for 75 percent of cases, according to Unicef. In some countries, as many as 95 percent of girls are affected. More than half a dozen African nations south of the Sahara have now instituted bans, which are enforced with fines and jail terms. The procedure is barred in Burkina Faso, the Central African Republic, Djibouti, Ghana, Guinea and Togo. Other countries, among them Uganda, discourage it. In North Africa, the Egyptian Supreme Court upheld a ban on the practice last year and also ruled that it had no place in Islam. In Senegal, President Abdou Diouf lent his support to the campaign, making legislative action easier. Ms. Bellamy said this week that international support for local groups was also important. The work of African grass-roots organizations seems increasingly to demonstrate that most women would not accept female genital mutilation as a part of tradition if they had the power to change their fate. ""Women around the world who have the courage to take a stand on female genital mutilation need sustained international support,"" Ms. Bellamy said, ""in order to convince their societies to move away from this horrendous practice."" http://www.nytimes.com An article on Monday about a decision by the Parliament of Senegal to ban genital cutting of women misspelled the name of a Senegalese women's organization that has campaigned against the practice. It is Tostan, not Tofhan.",1999,"Senegal"
"3","AIDS in South Africa","Africa","To the Editor: Re ""Newest Statistics Show AIDS Still Spreading in South Africa"" (news article, March 21): Women in South Africa face disproportionately high risks of being infected. Yet the implication you draw, that this reflects women's failure to respond to public relations campaigns promoting the use of condoms and safe sex practices, flies in the face of the complex life histories of South African women with whom I met in 1999 and 2000. Confronted with male partners who threaten violence if women insist on condom use, many women make what seems like an unhealthy choice -- to give up the effort to change their partner's sexual behavior -- in exchange for the healthy choice to protect themselves against immediate violence and abuse. Is it really only women's behavior that has failed to remain healthy? KATHLEEN B. JONES San Diego, March 21, 2001 The writer is a professor of women's studies, San Diego State University.",2001,"South Africa"
"4","Nigeria's Women","Africa","To the Editor: Re ""President Urges Nigeria to Fight Tyranny of AIDS"" (front page, Aug. 28): It seems as if the plight of women was not one of President Clinton's priorities in his visit to Nigeria. Since last October, beginning with the state of Zamfara, Islamic Shariah law has been introduced in several Nigerian states, denying women access to public transportation, restricting their employment and treating them as second-class citizens in other ways. A coalition of women's organizations in Nigeria has been protesting and calling on the government to take action against these laws, which violate the Nigerian Constitution. Mr. Clinton's visit represents a missed opportunity to support these efforts to protect the fundamental human rights of women in Nigeria. JESSICA NEUWIRTH President, Equality Now New York, Aug. 28, 2000 http://www.nytimes.com",2000,"Nigeria"
"5","For World's Women, Progress and Loss","Africa","To the Editor: Although I agree with your Johannesburg bureau chief about the specter of sexism and patriarchy so rampant in South Africa (Week in Review, Oct. 11), I take issue with her assessment of the situation of women there. She portrays South African women as hapless victims of sexism and patriarchy who show no inclination or ability to change the situation. The reality is that in less than a decade, South African women have made enormous gains. For example, they persuaded the African National Congress to allocate one-third of its parliamentary candidates to women. There are more female ministers and deputy ministers in the South African Government than there are in the United States or many other Western democracies. South African women have been instrumental, through their active participation in anti-apartheid activities, in contributing to the burgeoning, albeit fragile, democracy there. And they continue to lobby for women's rights. PENNY ANDREWS Flushing, Queens, Oct. 12, 1998 The writer is a professor at CUNY School of Law at Queens College.",1998,"South Africa"
"6","Women's Rights Laws and African Custom Clash","Africa","In theory, what happened to 14-year-old Sibongile in this hilly, crowded township outside Durban in November could not happen today -- at least, not legally. On a broiling Saturday morning, as more than a dozen women looked on, Sibongile joined 56 other Zulu girls outside a red-and-white striped tent. One by one, they lay on a straw mat beneath the tent; one by one, they received a cursory inspection of their genitals by a woman in a ceremonial beaded hat. As the inspector pronounced judgment on the state of each girl's hymen -- ''virgin,'' ''nice,'' ''perfect'' -- each departed to the excited trilling of the women who were observers. Until Sibongile lifted her red pleated skirt and submitted to her examination. Near silence followed her out of the tent. ''Only one of them cheered,'' she said, looking stricken at the determination that she was not a virgin. ''I feel very bad because I haven't done anything.'' To many Zulus, such virginity tests are a revered custom, one that discourages early sex and, after falling into disuse, has been revived to fight the spread of H.I.V. But to many advocates of women's and children's rights, the practice is unscientific, discriminatory and -- to girls who are publicly and perhaps falsely accused of having lost their virginity -- emotionally searing. This month, their arguments persuaded South Africa's Parliament to ban some virginity testing, with violations punishable by up to 10 years in prison. The ban is an example of how sub-Saharan Africa is slowly, but inexorably, enshrining into law basic protections that have long been denied women. But it also hints at the frailty of the movement toward women's rights in the region. Not only is the new law a watered-down version of what was proposed, but few here believe it will curb a tradition so deeply embedded in Zulu and to a lesser extent Xhosa culture. ''We will uphold our traditions and customs,'' said Patekile Holomisa, president of the Congress of Traditional Leaders, a political party in South Africa. ''There are laws that passed that do not necessarily have any impact on the lives of people. I imagine this will be one of those.'' The story is similar in much of this region: measured by laws and political status, women are making solid, even extraordinary, gains toward equality. Women's equity commissions are widespread in sub-Saharan Africa's 48 nations. Women are now deputy heads of state in at least seven nations and a woman is president of one, Liberia. They hold one in six parliamentary seats, matching the worldwide average. Women's rights legislation has also been enacted. Swaziland's new constitution, adopted this year, makes women the legal equals of men, able to own property, sign contracts and obtain loans without the sponsorship of a man. Zimbabwe this year allowed women to inherit property from their husbands and fathers. Liberia passed a stiff statute against rape, and president-elect Ellen Johnson-Sirleaf, the first woman in modern Africa to be elected a head of state, pledged to enforce it. Last month, a comprehensive protocol on women's rights, ratified by 15 African nations, took effect as part of the African human rights charter. Even so, African governments are typically much quicker to adopt international protocols than to pass domestic laws. And they are quicker to pass domestic laws than to enforce them, or to tamper with the unwritten rules -- the so-called living law of custom -- that govern much of rural Africa. In Guinea, for example, female genital cutting has been a crime since 1965, punishable by life in prison or death. But in 40 years, says the Center for Reproductive Rights, an advocacy group in New York, no case has ever been brought to trial. The United Nations Children's Fund says 99 percent of women in Guinea are cut, a rate unchanged for decades. In a region where nearly half of women are illiterate and courts and legal aid are often remote, it is often tribal leaders, not members of Parliament, who decide what is law. Almost invariably men, tribal leaders are rural Africa's cultural arbiters. In some African nations, their interpretations of traditional law overrule civil and criminal statutes, said Colleen Lowe-Morna, executive director of Gender Links, a women's rights group in Johannesburg. ''For the majority of women who live in rural areas, customary law basically consigns them to be minors all their lives, under their fathers, their husbands, their brothers, or whoever, '' Ms. Lowe-Morna said. Political leaders find it convenient to maintain dual legal systems, she said, ''because that allows you to sign up for all these progressive things but essentially do nothing on the ground.'' Stephen Lewis, the United Nations special envoy to Africa on AIDS and a campaigner against inequities between men and women, says women need their own version of Unicef, the United Nations children's agency. What is missing in the United Nations ''is a powerful women's international agency that emerges and just takes the world on,'' he said in a recent interview. ''Nobody is responsible,'' he said. ''There is no money, there is no urgency, there is no energy.'' Instead, he and others say, international donors typically promise to consider women's issues when designing aid programs, a well-meaning notion that often ensures that those issues are sidelined. Only two objectives aimed at women and girls -- reducing maternal mortality and eliminating the gap between girls and boys in schools -- are included in the United Nations' development goals for the next decade. The United Nations' own Economic Commission for Africa in February delivered a downbeat assessment of the progress by African women, stating that gains in women's political mobilization, advocacy and government representation ''are not yet reflected in substantial changes in the lives of ordinary women.'' In a part of the world where modern mores often collide with ancient traditions, women themselves are sometimes divided over what constitutes progress. Some advocates for women say their movement has come together over continentwide needs to promote peace and reduce violence against women. Beyond that, unity is often elusive. In Uganda this year, hundreds of Muslim women protested legislation that would have banned polygamy and female genital cutting, guaranteed equal rights in marriage and divorce and raised the legal age of marriage to 18. One in six Ugandans is Muslim. The Ugandan Parliament shelved the bill, which had been in the works for nearly 40 years. South Africa's debate over virginity testing was not unlike women's rights battles elsewhere. The issue pitted officials from South Africa's Commission on Gender Equality against Zulu leaders, male and female, who saw the legislation as an attack on ancient tribal culture and family values. Joyce Piliso-Seroke, who heads the commission, urged Parliament to ban virginity testing outright. The public inspection of girls' genitals, she argued, was humiliating, the conclusions about their virginity were slapdash and medically unreliable, the stigmatization of girls who failed the test was a lifelong blow and the public identification of virgins an invitation to rapists because of a myth among African men that sex with a virgin can cure AIDS. Not least, she said, she rejects the notion that it is acceptable to pass judgment on the virtue of girls while ignoring the morals of boys. Educating boys and girls, she argued, is a better weapon against AIDS. Zulu leaders, however, called virginity tests a revered tradition ideally suited to address modern ills. King Goodwill Zwelithini Zulu called the tests an umbilical cord between modern Zulus and their ancestors. In Pietermaritzburg and in Durban, hundreds of bare-breasted women and girls in traditional Zulu short skirts and beaded necklaces marched in opposition to the ban. Inkosi Mzimela, the chairperson of South Africa's House of Traditional Leaders, an assembly of tribal chiefs, called the legislation outrageous and warned that communities would defy it. Even South Africa's deputy president at the time, Jacob Zuma waded into the debate last year. Mr. Zuma, a Zulu, personally attended a virginity-testing ceremony, endorsing the practice as a way to shield African values against the corrosive effects of Western civilization. ''This is none of the government's business,'' said Nomagugu Ngobese, a Zulu virginity tester in Pietermaritzburg who says she has identified rape victims and perpetrators of incest through testing. ''People are devaluing our things, but we are not going to quit. They must come and imprison me if they like, because this has helped our children.'' After voting to ban virginity testing entirely, Parliament backtracked this month, restricting tests to girls 16 and over who give consent. Carol Bower, the executive director of Resources Aimed at the Prevention of Child Abuse and Neglect, which lobbied for the ban, called that ''an O.K. compromise.'' ''We don't think it is good enough,'' she said, ''but it is as good as it gets.'' In Lamontville, a busy township of plywood shacks and modest concrete dwellings, Jabu Mdlalose, a volunteer community health worker, holds a monthly virginity testing session. November's ceremony was also a coming-of-age celebration -- a sort of Zulu bat mitzvah sponsored by the families of two girls who had reached puberty, featuring prayers to ancestors, bathing in a moonlit river and the slaughter of a goat. Ms. Mdlalose, 42, donned a black-and-white beaded hat and settled on the ground under the red-and-white tent for the Saturday morning tests. ''We don't force them,'' she said, as the girls lined up. ''The girls want to protect themselves.'' A few girls attributed the turnout -- 57 in all, ages 5 to 24 -- to parental pressure. Many others said they enjoyed the camaraderie and took pride in the ritual. ''At first it was embarrassing,'' said Karabo Ngobese, 19. ''But you get used to it.'' If the new law is enforced, there will be no examinations without gloves, no white dots on the foreheads of girls deemed virgins. And there will be no 14-year-olds like Sibongile, who began the morning in buoyant mood and ended it hiding in the rear of the tent, insisting tearfully that, whatever her tester's judgment, she remained a virgin.  URL: http://www.nytimes.com",2005,"South Africa"
"7","Equal Status for Wives Urged By South African Legal Panel","Africa","The South African Law Commission, a legal review panel, recommended to Parliament today that it pass legislation giving wives equal status with their husbands. The proposals, viewed essentially as a charter of women's rights, seek a radical change in the present system, under which women are inferior marital partners in law. About half South Africa's wives are married under a property status that limits their legal rights. They cannot sign many commercial agreements or buy houses without their husbands' permission.",1982,"South Africa"
"8","ZIMBABWE STILL DIVIDED ON RIGHTS FOR WOMEN","Africa","The friend of a newly widowed woman traveled to her home to offer sympathy. When the visitor arrived, the widow asked if she could borrow cups, saucers, spoons and forks to serve the other expected guests. The family of the widow's husband had taken most of her belongings. Under traditional law, they were entitled to do so. This incident was recalled by a lawyer in this southern African city to illustrate the low status of women on the African continent and the overwhelming influence of cultural values in a nation that is struggling to create greater equality for women. When the Government of Prime Minister Robert Mugabe passed the Legal Age of Majority Act in 1982, the law was hailed as a major step toward winning women's rights. It gave women over age 18 more equal legal status, transferring the right to arrange marriages from the parents to the daughter, allowing women to own property apart from their husbands and to enter into business contracts. Ideology Versus Reality But four years later equal rights remain a distant concept. Both men and women, particularly those in the 85 percent of the population living in rural areas, have resisted the changes, viewing them as a challenge to their cultural values. The situation has the Government in a wrestling match between ideology and reality. Mr. Mugabe has a goal of social egalitarianism in his drive to make Zimbabwe a socialist, one-party state. But his governing political party receives vast support from tribal chiefs and others in the countryside, and Mr. Mugabe does not want to alienate them, some activists say. The intensity of the public's distaste for notions of equality was apparent in the negative widespread reaction against a recent Supreme Court ruling that found that fathers could no longer sue for so-called ''seduction damages'' from a man who impregnated a daughter over the age of 18. In effect, such payments would make up for the loss in the so-called bride's price, or lobola, a family might have received from a suitor had their daughter remained a virgin. Under the court ruling, the woman herself can sue. The Government has let the Age of Majority Act stand but has weakened it by leaving it open to interpretation in allowing women to decide individually whether the law applies to them. The result has been that traditional law remains overwhelmingly the norm among black people in this country. Whites remain bound by the civil laws fashioned for them when this nation was known as Rhodesia. Risk and Benefit Under the new law a woman arranging her own marriage can technically decide alone whether her prospective husband has to pay any money. But many parents or guardians maintain that claiming lobola is their conditional right - or else they might not approve of the marriage - and refuse to relinquish it. If the daughter takes a firm stand, she risks ostracism. It is a risk that few women want to take, according to experts on women's rights here, and it is still extremely rare for the bride's price to not be paid. At the same time, many women continue to view lobola as a symbol of worth and dignity in a male-dominated society that affords them little status. If the husband dies, leaves his wife in debt and leaves no will, traditional law allows his brothers or eldest son to take his estate and any minor children. The wife would then have to accept support from the extended family. The intent of the customary law was originally to insure that the widow was cared for by her in-laws and, in many rural areas, that is still the only practical means of support. But it can often mean that an urban professional wife is left with nothing. The Government is trying to develop a law that would define the distribution of property and block relatives from taking advantage of women.",1986,"Zimbabwe"
"9","FOR MISS NIGERIA, A BEAUTY CONTEST COMES IN SECOND TO LAW","Africa","Within hours of being crowned Miss Nigeria, Helen Prest made a radical departure from a long-held tradition in the beauty business here. She turned down a formal offer from the contest's sponsors to undertake a year of modeling and personal appearances in this West African country and abroad. ''My career,'' the 20-year-old Miss Prest said, ''comes first.'' She will soon graduate from law school, and when she is sworn in by the Nigerian Bar Association, Miss Prest will become the thirdgeneration lawyer in her family, one of the most distinguished in Nigeria. Her father, who received his legal training in Britain, is Michael Prest, currently chief of staff to President Shehu Shagari. Her grandfather, Arthur Prest, was Chief Justice and Nigeria's Ambassador to Britain. ''The sponsors of the contest wanted me to take a year off from school - but I suppose I'm too ambitious and in a hurry, and I didn't want to miss out on being a lawyer as soon as possible,'' Miss Prest said the other day. The contest was sponsored by The Daily Times of Nigeria. 'Society Is Complex' Miss Prest, whose accent carries traces of Britain, where she went to school, holds strong opinions concerning the role of women in Nigerian society. She asserts that, contrary to popular perceptions, the social structure here is ''not backward or conservative when it comes to giving women economic opportunities.'' ''Nigerian society is complex, as you can expect,'' Miss Prest said, ''and there are still men who won't agree with you when you ask that men and women should have equal rights, and equal pay for the same work. But women are far more liberated in economic opportunities in Nigeria than anywhere else - given the hard living conditions here, they cope amazingly. I challenge Western women to cope with life the way we do in Nigeria.'' While the lives of many women in this country of more than 90 million people are still shaped by ethnic customs, there are definite signs these days that cultural customs such as the purdah, polygamy and female circumcision are being questioned by women, especially those in urban areas such as Lagos, Nigeria's teeming, rambunctious capital city. Women's action groups regularly hold well-publicized seminars and conferences on development, and their representatives demand of President Shagari's administration greater say in legislative matters. A handful of women were elected last year to Nigeria's newly formed House of Representatives, and of the 48 million voters who were registered for the national and local elections in Nigeria's 19 states, nearly 60 percent were women. Women in the largely Moslem northern section voted for the first time in last year's elections. At the Middle Levels Miss Prest herself notes that an increasing number of women are getting into law (more than a tenth of Nigeria's 4,000 lawyers are women) and that more and more businesses are hiring women as executives. In particular, foreign businesses that have representations here - such as the French automobile manufacturer Peugeot - are giving a high priority to employing women in middle levels of management. Nigeria is black Africa's most populous, powerful and prosperous nation, and because of its oil wealth the nation is experiencing rapid economic growth. And there are many people here, including Miss Prest, who contend that opportunities for qualified women will also be increasing. There is also the ''domestic'' economic sector, the flourishing Nigerian bazaar, that is dominated by women who are known as ''market mammies.'' These women now have a 10,000-member organization known as the Lagos State Association of Market Women. There is general agreement that without the work of these women, Lagotians would never have adequate food to consume. The ''market mammies'' organization lobbies for better working conditions for its members, and for such amenities as child-care centers, according to its president, Modupe Caxton Martins, whose husband is a former judge. Recently, Mrs. Martins and her association established a ''model market'' in the Surulere section of Lagos, a structure that cost $7 million and was built by the Lagos City Council. Nevertheless, says Miss Prest, there are still some traditional practices in Nigeria that inhibit the economic and personal development of women. A recent study commissioned by the International Federation of Women's Lawyers said that although Nigerian women are given all fundamental rights under the new American-style constitution, they sometimes do not enjoy the same status as men. Specifically, the study noted, a single woman in Nigeria has more independence under the law than a married one. An unmarried woman of at least 21 years of age can sue and be sued, is liable for her debts, can buy or sell property in her own name, and can work or live where she likes. But once the same woman is married, under civil law she cannot control her own property, cannot obtain loans or a passport -without the consent of her husband. 'Things Are Bound to Change' ''But things are bound to change for the better,'' Miss Prest said, noting President Shagari's commitment to women's rights.  She sees a legal career as a takeoff point for a career in politics. Her graduation from the University of Ife, nearby, will not mean, however, that she can begin to practice law right away. First there is the compulsory ''national service'' of three years - urban youth are required to live and work in villages as part of a government plan to get youths to understand more about different parts of the country and different styles of living. Meanwhile, the modeling and other lucrative offers pour in. Among the prizes Miss Prest won after being crowned Miss Nigeria was a $20,000 Peugeot, $12,000 in cash, several wardrobes, color television sets and a guarantee that she would receive a hefty percentage of royalties from the use of the contest pictures in which she was portrayed. There is also tennis to play, and there is representing her university in track meets; Miss Prest runs 100-meter, 200-meter and 800-meter races. And, eventually, there is marriage. (''It is necessary,'' she says, ''no one can live alone.'') But now there is her career.",1980,"Nigeria"
"10","NEW YORK DAY BY DAY; A French Minister","Africa","A group of feminists gathered the other night at Betty Friedan's to meet Yvette Roudy, the French Minister for Women's Rights. She's here preparing for the international world conference on women, to be held in Nairobi, Kenya, in 1986. When asked about her accomplishments since 1981 in the cabinet of Francois Mitterrand, she listed furnishing her new ministry's office building, educating women about contraception and getting abortion reimbursed under the national health insurance. Her bill, to prohibit images of men or women that are degrading, got stuck in the National Assembly, she said. She also told the group that single parents are better off, under French income-tax law, living together rather than marrying. In France, the status of women living this way is called concubinage. Mrs. Roudy said that the serious financial problems under Mr. Mitterrand are having ''a terrible effect on women.'' Six percent of the unemployed are men, 12 percent are women.",1984,"Kenya"
