"","TITLE","REGION","TEXT","YEAR","COUNTRY_FINAL"
"1","Malawi Orders Parents of Md. Woman Hanged","Africa","Florence Simfukwe of Hyattsville was at work when the bad news came in a telephone call from a family friend: Her parents, Orton and Vera Chirwa, are to be hanged for treason in their native country, the small African nation of Malawi. ""It's like I'm having a funeral without the bodies. I'm mourning,"" Simfukwe said of the sentence imposed on her father and stepmother, who are both highly educated lawyers and opponents of the one-party rule of Malawi's President for Life Hastings K. Banda. The decision imposed May 5 by a Malawian court sent the 42-year-old widow into an emotional tailspin. Since that day, she has been unable to concentrate on her college courses and has felt ""really depressed."" Simfukwe, who supports her three sons by working as a delivery room nurse at Columbia Hospital for Women, also fears that her youngest brother, Fumbani, 27, is dead. Detained by Malawian security police along with her parents on Christmas Eve 1981, he has not been seen or heard from since. The Chirwas have appealed the death sentences. A strong, articulate woman who talks with warmth and an earthy verve, Simfukwe has felt the toll of her parents' troubles. ""I go back and forth between being mad and feeling sorry for myself,"" said Simfukwe, who sings in the choir of the Hyattsville Presbyterian Church, where she has found moral support. Jack Carlson, pastor of the church, said he and many of his parishioners have asked U.S. congressmen to intercede and have written letters to Malawian officials ""to bring our concern to the attention of the Malawian government."" They have never received a reply from Malawi, he said. Sens. Paul S. Sarbanes (D-Md.), Charles McC. Mathias Jr. (R-Md.) and Rep. Steny H. Hoyer (D-Md.) have all been in touch with the State Department to express their concern about the case, staff aides confirmed. But State Department officials have said that there is little they can do beyond emphasizing to the Malawi government their concern that the Chirwas received due process of law. The history of Orton Chirwa, 64, is intricately bound up with that of his country: The first black Malawian called to the British bar, he helped write Malawi's constitution and served as the country's first justice minister and attorney general. His wife, Vera, 51, is the country's first woman lawyer and they are both well known in international legal circles. News of the death sentences shocked many lawyers and followers of African political developments, who say the sentence is unduly harsh for the alleged crimes. In addition, the lower court in which the Chirwas were tried does not ""comply with international standards of due process,"" according to Niall MacDermot, secretary general of the Geneva-based International Commission of Jurists. ""Many years ago they set up traditional courts in Malawi to try criminal offenses. They were composed of chiefs without legal training and no lawyer has any right of appearance before the courts so the accused cannot be defended,"" said MacDermot, who knows Chirwa personally. Trying a person for treason in one of the local courts rather than in the country's higher courts ""is a little bit like trying someone for homicide in a District small claims court,"" said Jay Jacobson, a New York lawyer who was sent by the Kennedy administration to help the Malawians negotiate their independence from Britain and met Chirwa then. Simfukwe said that her father began to oppose Banda, Malawi's first president, shortly after the country achieved its independence in 1964. That same year, after receiving death threats, he and his wife went into exile in neighboring Tanzania. In 1977 they set up the Malawi Freedom Movement, which published tracts criticizing Banda and calling for his overthrow. But by all accounts, the movement did not engage in violent activities. Simfukwe came to the United States with her diplomat husband in 1971 when he was assigned to the Malawian Embassy here. But because of Simfukwe's family connections, her husband was so harassed by other embassy employes that he quit in 1972, she said. They were given permanent residence permits to remain in the United States and he made his living at odd jobs, Simfukwe said. During a trip home to Malawi to visit relatives in 1977 they were both arrested and held for a week by Malawi police, Simfukwe said. While being interrogated about her father's activities, she said, they were refused food for a week. Her husband, who was on special medication after a kidney transplant, was denied his treatment. He died six months after they returned from Malawi. In early 1982, Simfukwe received word from a sister living in Zambia, which borders on Malawi, that her parents and her brother had been kidnaped by Malawi security police. Malawi authorities deny this and say the Chirwas were arrested after they slipped into Malawi with the intention of overthrowing the government. Simfukwe says that as a wanted man, her father would not be ""stupid"" enough to enter Malawi. The Chirwas were detained incommunicado until their trial, which began last July and resulted in conviction and the death sentence. They have appealed the sentence, but foreign observers point out that the appeals court of the traditional legal system also does not meet international standards of due process. According to ICJ's MacDermot,""we know of no evidence presented at the trial which would amount to what we would call treasonable activity. In a democratic society it would be perfectly lawful."" The ICJ, Amnesty International, the House subcommittee on Africa and the American Bar Association's International Law and Practice Section, have all made appeals to Banda for a commutation of the death sentence. A State Department official said: ""We are interested in making sure that the Chirwas receive due process of law under Malawian law and that's all we can really express an interest in . . . . We hope that this former colleague of President Banda and his wife will receive the full consideration of Malawian law and that their appeal will be heard."" He added that ""up to this point we have no reason to question"" that due process has been followed. Officials at the Embassy of Malawi declined to comment on the case. Meanwhile, Simfukwe and her sons, who attend Riverdale Elementary School and Bladensburg High School, wait anxiously for news. ""I'm in mourning and yet they are not really dead, pyschologically it's really rough,"" Simfukwe said. ""But I still believe that miracles do happen in this day and age. But knowing the way things happen in Malawi I'm dead scared, but I try to be optimistic because I believe in God. But it's the helplessness, being so far away here. I guess that's what's eating me.""",1983,"Malawi"
"2","Official Asks Clemency for Parents of Md. Woman","Africa","The Chairman of the Organization of African Unity, Kenyan President Daniel arap Moi, has asked Malawi's president to grant clemency to the parents of a Hyattsville woman who have been convicted of treason and sentenced to hang. Florence Simfukwe expressed gratitude when told Tuesday of Moi's intercession on behalf of her parents, Orton and Vera Chirwa, and said she is hoping that international appeals will help. The reaction of Malawi President-for-Life Hastings K. Banda to Moi's appeal could not be learned and it was also unknown whether an execution date has been set. The Chirwas, who led a Malawi opposition party outside the country, were found guilty of treason and sentenced by a Malawian court May 5. They have appealed the sentence. ""The more people write, the better, especially the heads of state. I really appreciate the concern they have for human rights,"" said Simfukwe, a 42-year-old widow who has been in the U.S. 13 years and supports her three sons by working as a nurse at Columbia Hospital for Women in Washington. Moi took the unusual step in his capacity as OAU chairman in a May 16 letter to President Banda, according to reports in the Kenya press. African leaders, sensitive to charges of intervention in the internal affairs of the OAU member states, infrequently make public pleas for clemency in domestic political cases. The Kenya Times, a publication of Moi's ruling party, reported that Moi wrote Banda after receiving an appeal to help the Chirwas from the World Young Women's Christian Association, the international umbrella group of YWCAs. Moi acknowledged in his letter to Banda that the Chirwas were given due process of law in Malawian courts, but he requested that Banda spare their lives on humanitarian grounds, the newspaper said. Legal observers here say that Malawian traditional courts, in which the Chirwas were tried, do not meet international legal standards of due process. Chirwa, 64, and his wife, 51, both well-known lawyers, were active in Malawi's independence struggle against Great Britain two decades ago. Chirwa served as Malawi's first Attorney General and Justice Minister before a falling out with Banda that forced him into exile.",1983,"Malawi"
"3","Steinem Arrested At Embassy; Protest Leader Hails Day of 'Victories'","Africa","Feminist Gloria Steinem was arrested with two other persons at the South African Embassy here yesterday as part of the continuing demonstrations here and elsewhere against apartheid. Steinem, publisher of Ms. magazine; Andrew McBride, D.C. commissioner of public health, and the Rev. Rollins Lambert, a member of the U.S. Catholic Conference, were arrested and charged with demonstrating within 500 feet of an embassy, a misdemeanor, D.C. police said. Shortly before their arrests, the three marched in a peaceful demonstration about 60 yards from the embassy with more than 150 other protestors. Daily protests at the embassy, part of the ""Free South Africa"" movement organized by the lobbying group TransAfrica, have been occurring since Nov. 21. Randall Robinson, director of TransAfrica, proclaimed that yesterday was a day of ""victories"" because a Pittsburgh department store and a Minneapolis bank both stopped selling Krugerrands, the popular South African gold coins. Also, he said, the South African honorary consulate in Boston was closed because of demonstrations and longshoremen in San Francisco voted not to unload South African cargo. So far, 286 persons have been arrested in demonstrations in cities across the country, including New York, Chicago, Houston and Seattle, Robinson said. ""This thing is growing,"" he said, predicting the number of arrests will increase ""dramatically"" beginning in January when Congress reconvenes. But South African Ambassador Bernardus Fourie has said that U.S. demonstrations will have no effect on his government's policies. Steinem denounced the government of South Africa for denying basic civil and human rights to the 22 million members of the black majority there. As a feminist, she said, ""I am against any caste system"" because they usually discriminate against women. McBride urged an end to apartheid, South Africa's controversial system of segregation, because it has led to poor health conditions among blacks in the country, including a high infant mortality rate. As the crowd of demonstrators marched in a single file near the embassy at 3051 Massachusetts Ave. NW, some raised placards that urged passing motorists to ""Honk for Freedom"" and ""Stop Apartheid."" Dozens honked and raised their fists, but one man yelled ""Never!"" as he rode past on his motorcycle.",1984,"South Africa"
"4","CORRECTIONS","Africa","An editorial interpolation in an interview with Mayor Andrew Young published in today's Washington Post Magazine, which was printed in advance, inaccurately states the circumstances of the imprisonment in South Africa of African National Congress leader Nelson Mandela. Mandela was sentenced to life in prison in August 1964. He was held in the maximum security prison on Robben Island in Table Bay until April 1, 1982, when he was transferred to a prison on the mainland in Pollsmoor, South Africa. In yesterday's Metro section, an article on infant mortality incorrectly stated that Greater Southeast Community Hospital, D.C. General Hospital and Georgetown University Hospital all treat seriously ill newborns transported from other District hospitals. Of the three facilities, only Georgetown has such a program. Also, Dr. Paul Domson's comments on the need for mothers-to-be to lose weight referred only to very overweight women. An article yesterday about a police investigation of counterfeit $1 and $5 bills in Prince George's and Charles counties incorrectly spelled the name of James Rembold, one of the men arrested.",1985,"South Africa"
"5","A ZIMBABWE ISSUE: KILLING OF BABIES","Africa","Eriya Jokasi was 38 years old, unemployed and a widow with seven children when she secretly gave birth to a baby in a cornfield and, using a heavy rock, killed it. Mrs. Jokasi, uneducated and dependent on her tribal chief for financial support, told the police that she killed the infant out of fear that her dead husband's relatives would expel her from their rural village if they learned she had had another man's child. She was sentenced to nine years in prison. But the Zimbabwe Supreme Court, calling for more research into the underlying causes of such killings, later reduced the sentence to four years. The court case and the judgments highlight both the psychological pressures involved in what is known here as ''baby dumping,'' and the ways that this southern African nation is grappling with the issue as one that is as much sociological as it is criminal. A Widespread Problem Infanticide, of course, is not peculiar to Zimbabwe, and sociologists maintain that improvements in a nation's social and economic conditions can reduce the number of such cases. Since 1967, courts here have given about 90 prison sentences to women charged with killing their babies -Zimbabwean law does not differentiate between murder and infanticide as crime. But one supporter of women's rights said the number of cases did not reflect the seriousness of the problem because the ''percentage of actual incidents, which no one can determine, is another thing entirely.'' Many Zimbabweans view the crime as abhorrent and callously premeditated. But some lawyers and women's rights groups say it often represents an act of desperation in male-dominated Africa, where women have low status and few options and tend to be economically dependent. Some women conceal pregnancies and then kill their babies, in the view of these lawyers and rights groups, because they fear abandonment by parents who would lose much of the ''lobola,'' or the ''bride's price,'' that a family might have received from a suitor had their daughter remained a virgin. Stigma of Rape This group includes schoolgirls who have been educated to increase the amount of lobola that families can demand, and who face expulsion from school and rejection by their families if they become pregnant. Others may be victims of rape but, fearing divorce or ostracism because of the social stigma, do not report it. Still other women become pregnant because of promises of marriage. Among some ethnic groups a woman must conceive before marriage to prove that she is fertile, but later may be abandoned by the baby's father. The father can be ordered by the court to provide child support, but such payments are said to be rare. Abortion is illegal in Zimbabwe, except in specific cases such as rape or incest. Still, Government gynecologists estimate that 40,000 illegal and often dangerous abortions are done each year. A widely held belief here is that legalized abortion would increase promiscuity. The same attitude undermines the use of contraceptives, some women's groups say. Older women often accuse younger ones of being prostitutes if they use birth-control methods. And husbands accuse their wives of using contraceptives so they can have extramarital affairs. Infertility Feared Many women who have been raised to believe that their primary function is to bear children also fear that the use of birth control could make them infertile. ''If a woman is rejected by her family and the father of the child and has no job and nowhere to go, these sorts of things crowd in on her and often force her to kill her baby,'' said Kathy O'Meara, a lawyer at the Harare Legal Projects center. She has studied sentencing patterns of women convicted of killing infants and has represented women in court who were convicted of the crime. ''The courts are beginning to take these things into account,'' she said, ''and are realizing that killing a baby is often more sociological than a straight crime.'' Prison sentences of up to 10 years have been handed down for the offense, according to court documents, with the most common sentences ranging from three to five years. The Supreme Court decision last year in the Jokasi case was seen by women's groups as a major judicial shift toward greater sensitivity in sentencing. Problem for Society The court that gave Mrs. Jokasi the nine-year sentence said she showed an ''unbelievable degree of callousness.'' When the Supreme Court reduced the sentence, a justice recommended that the problem be dealt with by society as a whole and called for greater research. Until solid findings are available, the justice said, the courts should avoid the ''extreme of severity presented by sentences of seven to 10 years.'' ''Judges are beginning to realize that baby dumping is a crime of self-defense,'' said Peggy Watson, a member of the Women's Action Group, which was formed in 1983 to safeguard the rights of women and to research the killing of infants. ''As such, there should be more understanding,'' she said. ''It is often not an act of gross wanton cruelty but women fighting for their own survival.''",1987,"Zimbabwe"
"6","KENYAN COURT RULES TRIBE, NOT WIDOW, CAN BURY A LAWYER","Africa","A Nairobi court ruled today that the body of one of Kenya's leading trial lawyers could be buried in his ancestral homeland, ending a legal battle that underscored the powerful force of tribalism in Africa and its intricate system of rights and beliefs. The Court of Appeal ruled that the body of the lawyer, S. M. Otieno, which has remained in Nairobi's mortuary for more than 140 days during the legal dispute, could be given to his fellow Luo tribesmen for a traditional burial in his homeland near Lake Victoria in western Kenya. Members of the lawyer's Luo clan had argued that without a proper tribal burial, the ghost of Mr. Otieno would haunt and torment his survivors. Mr. Otieno's widow, Virginia Wambui Otieno, a member of the rival Kikuyu tribe, had insisted in court that her husband led a modern way of life, disdained tribalism and divorced himself from Luo customs. She fought to have a non-tribal burial for him at his farm near the Ngong Hills on the outskirts of Nairobi. The ruling, by three judges in the Court of Appeal, represented to some Kenyans a victory for African customary law over Western modernity. The judges said it was impossible for an African to disassociate himself from his tribe and its customs, particularly if he was a member of a tribe such as the Luo, who trace descent and kinship through the father rather than the mother. As a result, the judges said, Mr. Otieno was bound by his tribe's customs, and his clan had the right to arrange his burial. A 'Fantastic Ruling' The court's 26-page decision suggested, however, that Parliament consider legislation that takes into account the burial wishes of the deceased and their widows. The judges said tribal elders owed it to ''themselves and their communities to insure that customary laws keep abreast of positive modern trends.'' The lawyer representing the Luo clan in the case, Richard Otieno Kwach, said: ''This is a very fantastic ruling by the court. This goes a long way to confirm the fact that a woman cannot be the head of an African family. Customary law must prevail. I always knew from the start that common law was irrelevant in this case.'' Mrs. Otieno's intertribal marriage to her husband in 1963 was one of the first between Kikuyu and Luo in Kenya and at the time was viewed as shameful. She had portrayed the court battle, which touched on the role of women in modern Africa, as a test case for women's rights in Kenya. In this East African country, as in much of the rest of the continent, men dominate society and women have inferior status. After the judgment, which ended one of Kenya's longest court cases involving a dispute over burial, Mrs. Otieno told reporters that she would take the case to the International Court of Justice in The Hague. Attention Focused on Trial ''There is discrimination in Kenya, contrary to the United Nations convention for the elimination of discrimination against women, which Kenya ratified in 1984,'' said Mrs. Otieno, a pioneering feminist who was treasurer of an international women's conference held here in 1985 by the United Nations. The trial, which began in January, gripped the attention of a nation whose political leaders publicly deplore tribal divisions, but exploit them to seek or maintain power. Banner headlines in the three English-language daily newspapers accompanied full transcripts of the court proceedings. Two of the papers published rare special editions after the ruling today. Hundreds of Luo tribesmen from Mr. Otieno's clan crowded around the courthouse in downtown Nairobi and danced and sang after the court's ruling.",1987,"Kenya"
"7","200 Women Are Arrested in Protest in Cape Town","Africa","The police arrested at least 200 women in downtown Cape Town today when they marched toward Parliament to protest political detentions and other conditions in South Africa. Those arrested included Leah Tutu, the wife of Archbishop Desmond M. Tutu; Dorothy Boesak, whose husband is the Rev. Allan Boesak, president of the World Alliance of Reformed Churches, and Mary Burton, president of Black Sash, a white women's organization that battles apartheid. The arrests were the latest developments in the defiance campaign begun by anti-apartheid organizations before the country's elections, scheduled for next Wednesday. The black majority is excluded from voting. According to accounts from the police and from Black Sash, the women gathered this morning for a short prayer service in the hall of a Methodist Church in Cape Town. After the service, they went to deliver a message about the condition of political detainees, among other concerns, to the British Embassy, which is on the grounds of Parliament. The police said some of the women carried protest placards. Parliament is not in session, and the British Embassy maintains only a caretaker staff. Like many other countries, including the United States, Britain maintains another embassy in Pretoria when the Government is located there. The police said the women were ordered to disperse, and were loaded into vans when they failed to do so. A police spokesman estimated that 200 to 250 women were arrested. The police said the women would be charged under a 1973 law forbidding unsanctioned gatherings and demonstrations. Tonight, the women were still being brought into the Magistrate's Court in groups of 15 and 20 to be processed and released on their own recognizance, with trials set for October. In a speech in the Transvaal town of Krugersdorp, the South African Law and Order Minister, Adriaan Vlok, accused Archbishop Tutu of a ''blatant and scandalous misuse'' of St. George's Anglican Cathedral in Cape Town. Archbishop Tutu made his cathedral available for an anti-apartheid rally last Sunday when the police banned it at another site. When Archbishop Tutu learned of his wife's arrest, he said he was thrilled with her and the other women who, he said, ''have shown us how to organize these things.'' Mrs. Burton told reporters that the women were protesting capital punishment and the detention of children and were going to ask the British to convey their message to the South African Government. The other women arrested included Farieda Omar, wife of Dullah Omar, a prominent civil-rights lawyer, and Dorothy Zihlanga, who heads the Federation of South African Women. In other protests today, the riot police fired tear gas and live ammunition at high-school students who put up barricades of tires in Mitchell's Plain and Athlone, two mixed-race suburbs of Cape Town. One report said three youths were wounded. In Pretoria, the police reported, eight blacks and two whites were arrested after they tried to board buses reserved for white passengers. The two white women had bought tickets from the drivers and then given them to black companions to use.",1989,"South Africa"
"8","Kenya Teaches Its Citizens Lawlessness","Africa","To the Editor: ""Kenyans Do Some Soul-Searching After the Rape of 71 Schoolgirls"" (front page, July 29), on the events in Meru, is very distressing. Never in my days as a student in a boy's boarding school in Kenya could anything so atrocious have been contemplated. Indeed, such nefarious acts have until now been the sole preserve of the police and paramilitary forces, who have raided women's hostels at the universities while ""quelling"" student disturbances. Government spokesmen attribute the attack to a lack of discipline by male students. You suggest it was because of a general lack of respect for women. However, these reasons are merely symptomatic of the gradual breakdown of civil society and norms due to state-sponsored repression and violence. In the last few years, Kenyans and the world have watched as the Government has undone much of what made Kenya the envy of other African countries. The Government has taught by example that might makes right, unleashing coercive forces on anyone who dares question its policies (most of which have led to disastrous consequences). High-ranking officials have profited from corruption and graft. The Government has destroyed the educational system by ignoring merit in the selection of staff and students, and by changing the curriculum at the President's whim. Cabinet ministers openly cavort with women other than their wives, enticing them with wealth or threats. Any woman who dares challenge the Government (for example, Prof. Wangari Mathaai, the environmentalist who received the 1990 Africa Leadership Prize) faces insults from the President on down. The Kenyan Government must learn that the daily rhetorical venom and physical violence it perpetrates will only breed a culture of violence in the citizenry. This may manifest itself in organized armed struggle, increased violent crime or the type of vile attack that has now occurred. It is not enough for the Government to condemn the attack. The issue of women's rights and status needs to be addressed. Similarly, the male students should be brought to book. But these problems will recur and continue unless Kenya resorts to accountable and participatory government as envisaged by the framers of its constitution (who include Thurgood Marshall). Above all, the government and the political hierachy must lead by example. MAINA KIAI Research Fellow, TransAfrica Forum Washington, Aug. 1, 1991",1991,"Kenya"
"9","Kenya Doesn't Have Monopoly on Violence","Africa","To the Editor: Maini Kiai seems to be out of touch with reality (""Kenya Teaches Its Citizens Lawlessness,"" letter Aug. 12). What government in the world does not respect force? Governments have armies, police, commanders in chief and military guards of honor. This is not violent? Who are America's heroes? George Washington, Abraham Lincoln, Rambo? Under what circumstances did they become heroes? And who are Kenya's heroes? The freedom fighters who rebelled against colonial rule? Were they not violent? It is a cop-out to lay blame for the tragic death of 19 girls in a boarding school in central Kenya at the door of the Government. Not so long ago, a crazed gunman killed a number of women students at a college in Canada; the United States has the highest rate of homicide in the world. Are we therefore to conclude that the Governments of Canada and the United States teach their citizens lawlessness? All of society bears some responsibility for acts of violence, and especially violence against women. Kenya is no worse than other places in this regard. FLEUR NG'WENO Nairobi, Kenya, Aug. 21, 1991",1991,"Kenya"
"10","Argentine Team Digs Up Ethiopia's Hidden Truth; Forensic Findings to Be Used in Atrocity Trials","Africa","From an open pit in a glade where birds sing, a young woman in jeans and sneakers dusts off the bones of human skeletons and neatly packages fragments of hands and feet in paper bags. Using scalpel and paintbrush, scissors and garden scoop, Mercedes Doretti pries bones, clothing and ceramic shards from the red earth and sorts them for later analysis in the laboratory. The skeletons, flung face down in the pit with ropes around their necks, were men and women killed by government hit men during the 17-year regime of military dictator Mengistu Haile Mariam. They are relics, officials say, of a reign of terror without precedent in modern Ethiopia, a turbulent era of civil war in the field and brutal repression behind the front lines. Doretti, 35, is one of the 12-member Argentine Forensic Anthropology Team that has traveled from Kurdistan to the Balkans, using forensic techniques to provide legal proof of mass killings. Most of the team's work is funded by human rights groups. In Ethiopia, the evidence will be used to undergird thousands of documents and the testimony of witnesses at the trials of hundreds of ex-officials held since a new government took power in mid-1991. If the proceedings are carried out on the scale promised by the Ethiopian government, they would be the biggest war crimes trials since the Allied powers brought Nazi criminals to justice at Nuremberg, Germany, in 1945-49. A primary focus in the Ethiopian trials will be the 1977-78 ""Red Terror,"" when the Marxist government crushed an urban-based insurgency and killed at least 10,000, according to estimates by rights groups. Tens of thousands of other Ethiopians were imprisoned or tortured. The Addis Ababa gravesite unearthed by Doretti and her colleagues contained 30 Red Terror victims who apparently were hanged and dumped in a 12-foot hole. The team, sponsored by Physicians for Human Rights and the Atlanta-based Carter Center, also has collected human remains in the northern town of Hawzein, which the Ethiopian air force bombed on market day in June 1988, killing hundreds. The sites are among scores of mass graves dug up under the three-year tenure of President Meles Zenawi, whose government is dominated by a former rebel front that ousted Mengistu. ""This grave is proof that evildoing will never remain hidden and that one day, all oppressors will come down,"" said an Ethiopian priest, who recited blessings over the Addis Ababa site. ""We must pray that never again will this happen in Ethiopia."" ""Never again"" could be the motto of the forensic team, which has exhumed and examined countless victims of state terror since its inception 10 years ago at the advent of democracy in Argentina. Born of popular angst over some 9,000 victims who ""disappeared"" during the Argentine military government's repression of leftists in 1976-83, the group's first assignment was to produce evidence for trials of members of the military junta charged with ordering the killings. Many of the Argentine group had relatives who were killed. Doretti and fellow university students were trained by Clyde Snow of Norman, Okla., who pioneered the combination of anthropological excavation and forensic science that is practiced by only a few specialists today. Together, they exhumed skeletons used as evidence during the Argentine trials, at which Snow was an expert witness. ""From the standpoint of human rights, forensic anthropology started in Argentina in 1984,"" Snow said in a recent interview here. ""It turns out we played a pretty central role in a lot of cases."" Five generals from three Argentine military juntas were convicted of mass killings -- one of the few times in recent history where former government officials have been brought to justice for such atrocities. The generals were jailed but ultimately pardoned under a general amnesty. In El Salvador, the team discovered hundreds of buried skeletons in the remote village of El Mozote, providing proof of the massacre there that had been the biggest of El Salvador's 12-year civil war. The team's evidence was critical to last year's report by the U.N.-sponsored Truth Commission, which revealed atrocities long denied by the U.S.-backed Salvadoran military. The group also has investigated mass graves near Vukovar, Croatia, where journalists have reported some 200 Croatians slaughtered by Serb soldiers. The suspected perpetrators are to appear before the International Court of Justice. Forensic anthropologists resemble archaeologists as they gently coax information from remains and other evidence, like identity cards or jewelry, from the ground. Once in the laboratory, their detective work is similar to that of a coroner, except that they are typically working with old bones, not fresh corpses. A restored skull can produce vital evidence. In Argentina, ex-military leaders maintained that the ""disappeared"" were killed during armed struggle. Most victims examined by the forensic team were executed by a bullet to the back of the head. Teeth and bones can provide clues for identification. Their hard structures preserve a victim's DNA, the genetic code that can be traced to the blood samples of living relatives. If that fails, the team might match photographs of a missing person with an unearthed skull, photographing it at the same angle and distance. This technique was used to identify Nazi concentration camp doctor Josef Mengele when his skeleton was dug up in Brazil in 1985. ""Superimposing a photo is generally not conclusive. It's just another clue,"" said Luis Fondebrider, another founding member of the group. ""But you try to match the physical evidence with what you know."" ""A document can be forged, a witness can be torn apart on the stand, but we bring scientific evidence that gives the sense that these things really happened,"" Snow said. ""In a court, this kind of evidence adds immensely to the credibility of the case."" In Ethiopia, he said, ""we all know bad things happened on a terrible scale, but we can't examine and identify every skeleton out there. ""What forensic science can do is act like a spotlight, singling out cases that are typical,"" he added. Creating a historical record for a country like Ethiopia or Argentina is another aim, ""so that the revisionists cannot come along 15 or 20 years later and say this never happened,"" Snow said. ""Hopefully, laying these things out in daylight will have a chilling effect on others tempted to commit such crimes in the future."" Finally, there is a sense of ""closure"" for the families of the victims. ""If a son or daughter has simply 'disappeared,' it's unfinished. Their lives have been paralyzed,"" Doretti explained. ""Of course, it's always terribly painful to tell the family that they are dead. You are cutting down their hope that their child is still living. ""But at the same time, it is also a great relief that, after so many years, they can finally bury their loved ones. In a way, it is the end of their anguish.""",1994,"Ethiopia"
