Key,Value,Code,Region,iso3c
Afghan,Afghanistan,700,MENA,AFG
Afghanis,Afghanistan,700,MENA,AFG
Afghanistan,Afghanistan,700,MENA,AFG
Karzai,Afghanistan,700,MENA,AFG
taliban,Afghanistan,700,MENA,AFG
Albania,Albania,339,EECA,ALB
Andorra,Andorra,232,EECA,AND
Algeria,Algeria,615,MENA,DZA
Algerian,Algeria,615,MENA,DZA
Algerians,Algeria,615,MENA,DZA
Angola,Angola,540,Africa,AGO
Antigua and Barbuda,Antigua and Barbuda,58,LA,ATG
Antigua & Barbuda,Antigua and Barbuda,58,LA,ATG
Argentina,Argentina,160,LA,ARG
Argentine,Argentina,160,LA,ARG
Argentines,Argentina,160,LA,ARG
Armenia,Armenia,371,EECA,ARM
Australia,Australia,900,West,AUS
Austria,Austria,305,West,AUT
Azerbaijan,Azerbaijan,373,EECA,AZE
Bahamas,Bahamas,31,LA,BHS
Barbados,Barbados,53,LA,BRB
Bahrain,Bahrain,692,MENA,BHR
Bangladesh,Bangladesh,771,Asia,BGD
Belarus,Belarus,370,EECA,BLR
Belgium,Belgium,211,West,BEL
Belize,Belize,80,LA,BLZ
Benin,Benin,434,Africa,BEN
bhutan,bhutan,760,Asia,BTN
Bhutan,Bhutan,760,Asia,BTN
Bolivia,Bolivia,145,LA,BOL
Bolivian,Bolivia,145,LA,BOL
Boznia,Bosnia,346,EECA,BIH
Bosnia,Bosnia,346,EECA,BIH
Bosnian,Bosnia,346,EECA,BIH
Bosnians,Bosnia,346,EECA,BIH
Botswana,Botswana,571,Africa,BWA
Brazil,Brazil,140,LA,BRA
Brazilian,Brazil,140,LA,BRA
Brazilians,Brazil,140,LA,BRA
Brunei,Brunei,835,Asia,BRN
Bulgaria,Bulgaria,355,EECA,BGR
Burkina Faso,Burkina Faso,439,Africa,BFA
Burundi,Burundi,516,Africa,BDI
Cambodia,Cambodia,811,Asia,KHM
Khmer Rouge,Cambodia,811,Asia,KHM
Pol Pot,Cambodia,811,Asia,KHM
Cameroon,Cameroon,471,Africa,CMR
Canada,Canada,20,West,CAN
Cape Verde,Cape Verde,402,Africa,CPV
Central African Republic,Central African Republic,482,Africa,CAF
Chad,Chad,483,Africa,TCD
Chile,Chile,155,LA,CHL
Chilean,Chile,155,LA,CHL
Pinochet,Chile,155,LA,CHL
Santiago,Chile,155,LA,CHL
beijing,China,710,Asia,CHN
China,China,710,Asia,CHN
Chinese,China,710,Asia,CHN
Tibet,China,710,Asia,CHN
Colombia,Colombia,100,LA,COL
Colombian,Colombia,100,LA,COL
Colombians,Colombia,100,LA,COL
Comoros,Comoros,581,Africa,COM
DRC,DRC,490,Africa,COD
Congo,DRC,490,Africa,COD
Congo Brazzaville,"Congo, Republic of",484,Africa,COG
Congo Kinshasa,DRC,490,Africa,COD
Zaire,DRC,490,Africa,COD
Costa Rica,Costa Rica,94,LA,CRI
COTE D'IVOIRE,COTE D'IVOIRE,437,Africa,CIV
Croatia,Croatia,344,EECA,HRV
Cuba,Cuba,40,LA,CUB
Cuban,Cuba,40,LA,CUB
Cyprus,Cyprus,352,EECA,CYP
Czech Republic,Czech Republic,316,EECA,CZE
Czech,Czechoslovakia,315,EECA,CZE
Czechoslovakia,Czechoslovakia,315,EECA,CZE
Prague,Czechoslovakia,315,EECA,CZE
Denmark,Denmark,390,West,DNK
Dominica,Dominica,54,LA,DMA
Djibouti,Djibouti,522,Africa,DJI
Dominican Rep,Dominican Rep,42,LA,DOM
East Timor,East Timor,860,Asia,TLS
Ecuador,Ecuador,130,LA,ECU
Cairo,Egypt,651,MENA,EGY
Egypt,Egypt,651,MENA,EGY
Egyptian,Egypt,651,MENA,EGY
Egyptians,Egypt,651,MENA,EGY
El Salvador,El Salvador,92,LA,SLV
Salvador,El Salvador,92,LA,SLV
Salvadorian,El Salvador,92,LA,SLV
Equatorial Guinea,Equatorial Guinea,411,Africa,GNQ
Eritrea,Eritrea,531,Africa,ERI
Estonia,Estonia,366,West,EST
Ethiopia,Ethiopia,530,Africa,ETH
Fiji,Fiji,950,LA,FJI
Finland,Finland,375,West,FIN
France,France,220,West,FRA
French,France,220,West,FRA
Gabon,Gabon,481,Africa,GAB
gambia,gambia,420,Africa,GMB
Georgia,Georgia,372,EECA,GEO
Germany,Germany,255,West,DEU
Germant East,Germany East,265,West,GDR
Ghana,Ghana,452,Africa,GHA
Greece,Greece,350,EECA,GRC
Grenada,Grenada,55,LA,GRD
Guatemala,Guatemala,90,LA,GTM
Guatemalan,Guatemala,90,LA,GTM
Guinea,Guinea,438,Africa,GIN
Guinea-Bissau,Guinea-Bissau,404,Africa,GNB
Guyana,Guyana,110,LA,GUY
Haiti,Haiti,41,LA,HTI
Haitian,Haiti,41,LA,HTI
Haitians,Haiti,41,LA,HTI
Honduras,Honduras,91,LA,HND
Hong Kong,Hong Kong,710,Asia,CHN
budapest,Hungary,310,EECA,HUN
Hungary,Hungary,310,EECA,HUN
Iceland,Iceland,395,West,ISL
India,India,750,Asia,IND
Indian,India,750,Asia,IND
Kashmir,India,750,Asia,IND
Punjab,India,750,Asia,IND
East Timor,Indonesia,850,Asia,IDN
Indonesia,Indonesia,850,Asia,IDN
Indonesian,Indonesia,850,Asia,IDN
Jakarta,Indonesia,850,Asia,IDN
timor-leste,Indonesia,850,Asia,IDN
ahmadinejad,Iran,630,MENA,IRN
Iran,Iran,630,MENA,IRN
Iranian,Iran,630,MENA,IRN
Iranians,Iran,630,MENA,IRN
Baghdad,Iraq,645,MENA,IRQ
Hussein,Iraq,645,MENA,IRQ
Iraq,Iraq,645,MENA,IRQ
Iraqi,Iraq,645,MENA,IRQ
Iraqis,Iraq,645,MENA,IRQ
Saddam,Iraq,645,MENA,IRQ
Ireland,Ireland,205,West,IRL
Irish,Ireland,205,West,IRL
Israel,Israel,666,MENA,ISR
Israeli,Israel,666,MENA,ISR
Israelis,Israel,666,MENA,ISR
Italy,Italy,325,West,ITA
Rome,Italy,325,West,ITA
Ivory Coast,Ivory Coast,437,Africa,CIV
Jamaica,Jamaica,51,LA,JAM
Japan,Japan,740,Asia,JPN
amman,jordan,663,MENA,JOR
Jordan,Jordan,663,MENA,JOR
Kazakhstan,Kazakhstan,705,EECA,KAZ
Kenya,Kenya,501,Africa,KEN
Korea North,Korea North,731,Asia,PRK
Korea South,Korea South,732,Asia,KOR
Kosovo,Kosovo,341,EECA,MKD
Kuwait,Kuwait,690,MENA,KWT
Kyrgyzstan,Kyrgyzstan,703,EECA,KGZ
Laos,Laos,812,Asia,LAO
Central America,Latin America,NA,LA,NA
Latin America,Latin America,NA,LA,NA
Latvia,Latvia,367,West,LVA
beirut,lebanon,660,MENA,LBN
Lebanon,Lebanon,660,MENA,LBN
Lesotho,Lesotho,570,Africa,LSO
charles taylor,Liberia,450,Africa,LBR
Liberia,Liberia,450,Africa,LBR
Libya,Libya,620,MENA,LBY
Libyan,Libya,620,MENA,LBY
Qaddafi,Libya,620,MENA,LBY
Tripoli,Libya,620,MENA,LBY
Lithuania,Lithuania,368,West,LTU
Liechtenstein,Liechtenstein,223,West,LIE
Luxembourg,Luxembourg,212,West,LUX
Macedonia,Macedonia,343,EECA,MKD
Madagascar,Madagascar,580,Africa,MDG
Malawi,Malawi,553,Africa,MWI
Malaysia,Malaysia,820,Asia,MYS
Malta,Malta,338,EECA,MLT
maldives,maldives,781,EECA,MDV
Mali,Mali,432,Africa,MLI
Mauritania,Mauritania,435,Africa,MRT
Mauritius,Mauritius,590,Africa,MUS
Mexican,Mexico,70,LA,MEX
Mexicans,Mexico,70,LA,MEX
Mexico,Mexico,70,LA,MEX
Moldova,Moldova,359,EECA,MDA
Monaco,Monaco,221,West,MCO
Mongolia,Mongolia,712,Asia,MNG
Morocco,Morocco,600,MENA,MAR
Mozambique,Mozambique,541,Africa,MOZ
Burma,Myanmar,775,Asia,MMR
burmese,Myanmar,775,Asia,MMR
Myanmar,Myanmar (Burma),775,Asia,MMR
Micronesia,Micronesia,979,Asia,NA
Namibia,Namibia,565,Africa,NAM
Nauru,Nauru,970,Asia,NRU
Nepal,Nepal,790,Asia,NPL
Netherlands,Netherlands,210,West,NLD
New Zealand,New Zealand,920,West,NZL
Nicaragua,Nicaragua,93,LA,NIC
Niger,Niger,436,Africa,NER
Nigeria,Nigeria,475,Africa,NGA
North Korea,North Korea,731,Asia,PRK
Norway,Norway,385,West,NOR
Oman,Oman,698,MENA,OMN
Bhutto,Pakistan,770,Asia,PAK
Pakistan,Pakistan,770,Asia,PAK
Pakistani,Pakistan,770,Asia,PAK
Pakistans,Pakistan,770,Asia,PAK
Arafat,Palestine,666,MENA,ISR
Fatah,Palestine,666,MENA,ISR
Gaza,Palestine,666,MENA,ISR
Hamas,Palestine,666,MENA,ISR
palestine,palestine,666,MENA,ISR
Palestine,Palestine,666,MENA,ISR
palestinian,palestine,666,MENA,ISR
Palestinian,Palestine,666,MENA,ISR
West Bank,Palestine,666,MENA,ISR
Palau,Palau,986,Asia,PLW
Noriega,Panama,95,LA,PAN
Panama,Panama,95,LA,PAN
Panaminians,Panama,95,LA,PAN
Papua New Guinea,Papua New Guinea,910,LA,PNG
Paraguay,Paraguay,150,LA,PRY
Peru,Peru,135,LA,PER
Peruvian,Peru,135,LA,PER
Peruvians,Peru,135,LA,PER
Manila,Philippines,840,Asia,PHL
Marcos,Philippines,840,Asia,PHL
Philippine,Philippines,840,Asia,PHL
Philippines,Philippines,840,Asia,PHL
Poland,Poland,290,EECA,POL
Polish,Poland,290,EECA,POL
Portugal,Portugal,235,West,PRT
Qatar,Qatar,694,MENA,QAT
Romania,Romania,360,EECA,ROU
Rumania,Romania,360,EECA,ROU
chechen,Russia,365,EECA,RUS
chechnya,Russia,365,EECA,RUS
Moscow,Russia,365,EECA,RUS
putin,Russia,365,EECA,RUS
Russia,Russia,365,EECA,RUS
Rwanda,Rwanda,517,Africa,RWA
Rwandan,Rwanda,517,Africa,RWA
Saint Kitts and Nevis,Saint Kitts and Nevis,60,LA,KNA
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,57,LA,VCT
Sao Tome and Principe,Sao Tome and Principe,403,LA,STP
San Marino,San Marino,331,LA,SMR
Saint Lucia,Saint Lucia,56,LA,LCA
samoa,samoa,990,LA,WSM
Saudi,Saudi Arabia,670,MENA,SAU
Saudi Arabia,Saudi Arabia,670,MENA,SAU
Senegal,Senegal,433,Africa,SEN
Seychelles,Seychelles,591,LA,SYC
Milosevic,Serbia,347,EECA,NA
Sarajevo,Serbia,347,EECA,NA
Serb,Serbia,347,EECA,NA
Serbia,Serbia,347,EECA,NA
Serbian,Serbia,347,EECA,NA
Serbian,Serbia,347,EECA,NA
Serbs,Serbia,347,EECA,NA
Sierra Leone,Sierra Leone,451,Africa,SLE
Singapore,Singapore,830,Asia,SGP
Slovak Republic,Slovak Republic,317,EECA,SVK
slovakia,slovakia,317,EECA,SVK
Slovenia,Slovenia,349,EECA,SVN
Solomon Islands,Solomon Islands,940,Asia,SLB
Somalia,Somalia,520,Africa,SOM
Mandela,South Africa,560,Africa,ZAF
PRETORIA,South Africa,560,Africa,ZAF
South Africa,South Africa,560,Africa,ZAF
Korea,South Korea,732,Asia,KOR
Seoul,South Korea,732,Asia,KOR
South Korea,South Korea,732,Asia,KOR
Madrid,Spain,230,West,ESP
Spain,Spain,230,West,ESP
Spanish,Spain,230,West,ESP
Sri Lanka,Sri Lanka,780,Asia,LKA
Sri Lankan,Sri Lanka,780,Asia,LKA
South Sudan,South Sudan,626,MENA,SSD
Darfur,Sudan,625,MENA,SDN
Sudan,Sudan,625,MENA,SDN
Sudanese,Sudan,625,MENA,SDN
Suriname,Suriname,115,LA,SUR
Swaziland,Swaziland,572,Africa,SWZ
Sweden,Sweden,380,West,SWE
Switzerland,Switzerland,225,West,CHE
Syria,Syria,652,MENA,SYR
Syrian,Syria,652,MENA,SYR
Syrians,Syria,652,MENA,SYR
Taiwan,Taiwan,713,Asia,NA
Tajikistan,Tajikistan,702,EECA,TJK
Tanzania,Tanzania,510,Africa,TZA
Thailand,Thailand,800,Asia,THA
Tuvalu,Tuvalu,947,Asia,TUV
Tonga,Tonga,955,Asia,TON
Togo,Togo,461,Africa,TGO
trinidad,trinidad,52,LA,TTO
Trinidad and Tobago,Trinidad and Tobago,52,LA,TTO
Tunisia,Tunisia,616,MENA,TUN
Turk,Turkey,640,MENA,TUR
Turkey,Turkey,640,MENA,TUR
Turkish,Turkey,640,MENA,TUR
Turks,Turkey,640,MENA,TUR
Turkmenistan,Turkmenistan,701,EECA,TKM
UAE,UAE,696,MENA,ARE
Abu Dhabi,UAE,696,MENA,ARE
United Arab Emirates,UAE,696,MENA,ARE
Buwunga,Uganda,500,Africa,UGA
Uganda,Uganda,500,Africa,UGA
Ukraine,Ukraine,369,EECA,UKR
Blair,United Kingdom,200,West,GBR
britain,United Kingdom,200,West,GBR
British,United Kingdom,200,West,GBR
england,United Kingdom,200,West,GBR
English,United Kingdom,200,West,GBR
United Kingdom,United Kingdom,200,West,GBR
Wales,United Kingdom,200,West,GBR
Scotland,United Kingdom,200,West,GBR
London,United Kingdom,200,West,GBR
United States,United States of America,2,West,USA
Abu Ghraib,United States of America,2,West,USA
guantanamo,United States of America,2,West,USA
United States,United States of America,2,West,USA
Puerto Rico,United States of America,2,West,USA
USA,United States of America,2,West,USA
Guam,United States of America,2,West,USA
Uruguay,Uruguay,165,LA,URY
Soviet,USSR,364,EECA,SVU
Soviets,USSR,364,EECA,SVU
UNION OF SOVIET SOCIALIST REPUBLICS,USSR,364,EECA,SVU
USSR,USSR,364,EECA,SVU
uzbek,Uzbekistan,704,EECA,UZB
Uzbekistan,Uzbekistan,704,EECA,UZB
Vanuatu,Vanuatu,935,Asia,VUT
Venezuela,Venezuela,101,LA,VEN
viet nam,viet nam,816,Asia,VNM
hanoi,vietnam,816,Asia,VNM
Vietnam,Vietnam,816,Asia,VNM
Vietnamese,Vietnam,816,Asia,VNM
WESTERN SAHARA,WESTERN SAHARA,NA,MENA,ESH
Yemen,Yemen,679,MENA,YEM
Yugoslav,Yugoslavia,347,EECA,NA
Yugoslavia,Yugoslavia,347,EECA,NA
Yugoslavia,Yugoslavia,347,EECA,NA
Zambia,Zambia,551,Africa,ZMB
Mobutu,Ziare,490,Africa,COD
Ziare,Ziare,490,Africa,COD
Zimbabwe,Zimbabwe,552,Africa,ZWE
